track_id,times_in_daily_chart,top_peak_pos,avg_chart_pos,total_streams,January_streams,February_streams,March_streams,April_streams,May_streams,June_streams,July_streams,August_streams,September_streams,October_streams,November_streams,December_streams,popularity,explicit,name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0VjIjW4GlUZAMYd2vXMi3b,286,1.0,6.0,1219144808.0,,,75600198.0,180890101.0,163818802.0,142509893.0,135909466.0,120994883.0,107124117.0,100811179.0,87154324.0,104331845.0,91,False,Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,4.0
1rgnBhdG2JDFTbYkYRZAku,366,1.0,19.0,1196397504.0,217917312.0,178668964.0,146936653.0,114427641.0,94954569.0,82819583.0,79347727.0,68630295.0,58070234.0,54397349.0,46521277.0,53705900.0,77,False,Dance Monkey,Tones And I,2NjfBq1NflQcKSeiDooVjY,0.826,0.593,6.0,-6.401,0.0,0.0976,0.688,0.000161,0.17,0.541,98.083,209755.0,4.0
0nbXyq5TXYPCO7pr3N8S4I,365,1.0,37.0,1036463444.0,182675571.0,175963538.0,154986821.0,117447974.0,90347257.0,69924232.0,56152000.0,44928166.0,37283107.0,35817983.0,31901292.0,39035503.0,83,True,The Box,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,196653.0,4.0
7ytR5pFWmSjzHJIeQkgog4,259,1.0,14.0,910011741.0,,,,38075154.0,137729867.0,155822985.0,160103316.0,127322000.0,96588868.0,77330495.0,58467038.0,58572018.0,84,True,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch","4r63FhuTkUYltbVAg5TQnk, 757aE44tKEUQEqRuT6GnEB",0.746,0.69,11.0,-7.956,1.0,0.164,0.247,0.0,0.101,0.497,89.977,181733.0,4.0
6UelLqGlWMcVH1E5c4H7lY,366,4.0,40.0,853568745.0,58626867.0,34506268.0,30984098.0,25412303.0,40156554.0,85996822.0,116928135.0,122110000.0,106936792.0,92997993.0,74081291.0,64831622.0,88,False,Watermelon Sugar,Harry Styles,6KImCVD70vtIoJWnq6nGn3,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,4.0
7qEHsqek33rTcFNT9PFqLf,366,12.0,27.0,787306360.0,87048943.0,81523688.0,78803694.0,68203882.0,64911806.0,61513330.0,61086137.0,58201844.0,56995023.0,59663816.0,54972616.0,54381581.0,86,False,Someone You Loved,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,4.0
7eJMfftS33KTjuF7lTsMCx,321,4.0,33.0,779015290.0,,23498715.0,90539753.0,122493363.0,118389405.0,100092944.0,85103023.0,66593051.0,51813442.0,46110347.0,36435307.0,37945940.0,84,False,death bed (coffee for your head),"Powfu, beabadoobee","6bmlMHgSheBauioMgKv2tn, 35l9BRT7MXmM8bv2WDQiyB",0.726,0.431,8.0,-8.765,0.0,0.135,0.731,0.0,0.696,0.348,144.026,173333.0,4.0
7k4t7uLgtOxPwTpFmtJNTY,365,3.0,51.0,765223780.0,153241202.0,126621790.0,99724467.0,65369154.0,55642466.0,49458525.0,46647574.0,40255658.0,33687613.0,31429404.0,28512250.0,34633677.0,79,False,Tusa,"KAROL G, Nicki Minaj","790FomKkXshlbRYZFtlgla, 0hCNtLu0JehylgoiP8L4Gh",0.803,0.715,2.0,-3.28,1.0,0.298,0.295,0.000134,0.0574,0.574,101.085,200960.0,4.0
24Yi9hE78yPEbZ4kxyoXAI,215,2.0,17.0,720073920.0,42107644.0,56648286.0,95071086.0,144681814.0,141261730.0,122086930.0,111833706.0,6382724.0,,,,,83,True,Roses - Imanbek Remix,"SAINt JHN, Imanbek","0H39MdGGX6dbnnQPt6NQkZ, 5rGrDvrLOV2VV8SCFVGWlj",0.77,0.724,8.0,-5.484,1.0,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840.0,4.0
696DnlkuDOXcMAnKlTgXXK,363,2.0,66.0,695769238.0,140427337.0,110535731.0,93751884.0,69155731.0,59212646.0,46466839.0,36612844.0,32521591.0,28529579.0,27775609.0,25227237.0,25552210.0,81,True,ROXANNE,Arizona Zervas,0vRvGUQVUjytro0xpb26bs,0.621,0.601,6.0,-5.616,0.0,0.148,0.0522,0.0,0.46,0.457,116.735,163636.0,5.0
