track_id,times_in_daily_chart,top_peak_pos,avg_chart_pos,total_streams,January_streams,February_streams,March_streams,April_streams,May_streams,June_streams,July_streams,August_streams,September_streams,October_streams,November_streams,December_streams,popularity,explicit,name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1smFN2CLqGROu0J0UyvDfL,320,1.0,3.0,43411564.0,,2147401.0,4126358.0,3672290.0,3666008.0,3756502.0,3965309.0,3736070.0,4008920.0,4409826.0,4329932.0,5592948.0,71,False,Shayad,"Pritam, Arijit Singh","1wRPtKGflJrBx9BmLsSwlU, 4YRxDV8wJFPHPTeXepOstw",0.483,0.468,8.0,-7.642,1.0,0.0341,0.785,0.0,0.152,0.319,135.864,247941.0,4.0
0WdbnNKO0Jt4BZACSDQh44,366,2.0,12.0,34530603.0,3678996.0,3014073.0,3151638.0,2870738.0,2496124.0,2332327.0,2511661.0,2397378.0,2692110.0,3052056.0,2960884.0,3372618.0,68,False,"Ghungroo (From ""War"")","Arijit Singh, Shilpa Rao","4YRxDV8wJFPHPTeXepOstw, 19LIHDDSHBD5NyYHI3gpzB",0.695,0.727,6.0,-6.274,0.0,0.0323,0.0744,0.000175,0.533,0.864,118.034,302935.0,4.0
2Fv2injs4qAm8mJBGaxVKU,366,5.0,12.0,34255948.0,3128264.0,2699689.0,2733797.0,2521418.0,2442143.0,2633125.0,2904813.0,2647263.0,2857112.0,3067026.0,3027669.0,3593629.0,67,False,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh, Mithoon","4YRxDV8wJFPHPTeXepOstw, 09UmIX92EUH9hAK4bxvHx6",0.427,0.396,11.0,-7.556,1.0,0.0366,0.736,0.0,0.11,0.306,70.368,284780.0,4.0
0ZHILXmUaVSLEOCWxPQ1ga,366,4.0,14.0,33344859.0,3899035.0,3303401.0,2822303.0,2237869.0,2032254.0,2308995.0,2446155.0,2558993.0,2789000.0,3085488.0,2778306.0,3083060.0,69,False,Makhna,"Tanishk Bagchi, Yasser Desai, Asees Kaur","4f7KfxeHq9BiylGmyXepGt, 6RF8hEdlUKoLPQOHmBbHiM, 1sVmXkzX2ukc6QvasrDBES",0.696,0.704,1.0,-7.876,1.0,0.0423,0.167,0.0,0.155,0.426,124.972,183000.0,4.0
6q9XTgfWilsnyiFofvYrIF,366,2.0,21.0,31096825.0,4331899.0,3666051.0,3060689.0,2767363.0,2068645.0,1755282.0,1875856.0,1665713.0,2022741.0,2481142.0,2541988.0,2859456.0,66,False,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)","Badshah, Neha Kakkar, Varun Dhawan","0y59o4v8uw5crbN9M3JiL1, 5f4QpKfy7ptCHwTqspnSJI, 1P0xN5daAiUEebg0m8pY2O",0.788,0.87,9.0,-5.217,1.0,0.177,0.123,1.43e-05,0.0692,0.884,109.974,182739.0,4.0
57jOEZtoLQK4zF2x55bdkp,366,8.0,17.0,30485666.0,2492648.0,2750820.0,2872618.0,2467637.0,2000693.0,1925815.0,2241111.0,2258231.0,2590759.0,2988927.0,2807056.0,3089351.0,68,False,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli, Arijit Singh, Neha Kakkar","3dN9MQpjIyNxyeRfz4EDZe, 4YRxDV8wJFPHPTeXepOstw, 5f4QpKfy7ptCHwTqspnSJI",0.718,0.382,7.0,-8.237,1.0,0.0466,0.585,0.0,0.128,0.499,87.029,200992.0,4.0
66Nmp3ztIMqX1j8yYtWl1X,366,4.0,29.0,29492371.0,972976.0,1097570.0,1794252.0,1726453.0,1654370.0,1692009.0,2335414.0,2856386.0,3181144.0,3711308.0,3983482.0,4487007.0,68,False,Liggi,Ritviz,72beYOeW2sb2yfcS4JsRvb,0.786,0.667,5.0,-8.272,1.0,0.054,0.0112,0.053,0.074,0.688,102.046,181176.0,4.0
25MPTnqXQB1H6OkwSYUXWx,351,2.0,23.0,29044101.0,1693424.0,3968546.0,3159331.0,2558754.0,2350949.0,2323007.0,2282798.0,2058594.0,2014559.0,2159161.0,2024482.0,2450496.0,66,False,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma,7uX1emIGgmfAgtHNRAK50Z,0.384,0.728,7.0,-6.503,0.0,0.0623,0.329,1.85e-05,0.329,0.311,156.396,287374.0,4.0
2b8fOow8UzyDFAE27YhOZM,366,6.0,22.0,27790729.0,3183597.0,2470815.0,2213120.0,1884459.0,1843112.0,1900692.0,2519981.0,2306123.0,2216959.0,2358869.0,2320658.0,2572344.0,85,False,Memories,Maroon 5,04gDigrS5kc9YWfZHwBETP,0.764,0.32,11.0,-7.209,1.0,0.0546,0.837,0.0,0.0822,0.575,91.019,189486.0,4.0
5O932cZmzOZGOGZz9RHx20,366,1.0,50.0,27641767.0,754185.0,776851.0,855351.0,967311.0,1058439.0,2665514.0,3756897.0,3201710.0,3347354.0,3467419.0,3110498.0,3680238.0,71,False,Khairiyat,"Pritam, Arijit Singh","1wRPtKGflJrBx9BmLsSwlU, 4YRxDV8wJFPHPTeXepOstw",0.534,0.481,0.0,-9.016,0.0,0.0412,0.697,0.0,0.142,0.293,124.914,280282.0,4.0
