track_id,times_in_daily_chart,top_peak_pos,avg_chart_pos,total_streams,January_streams,February_streams,March_streams,April_streams,May_streams,June_streams,July_streams,August_streams,September_streams,October_streams,November_streams,December_streams,popularity,explicit,name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1rgnBhdG2JDFTbYkYRZAku,366,1.0,26.0,8298220.0,1407157.0,1110588.0,935653.0,706040.0,627508.0,549392.0,554239.0,508619.0,481648.0,482509.0,434084.0,500783.0,77,False,Dance Monkey,Tones And I,2NjfBq1NflQcKSeiDooVjY,0.826,0.593,6.0,-6.401,0.0,0.0976,0.688,0.000161,0.17,0.541,98.083,209755.0,4.0
0nbXyq5TXYPCO7pr3N8S4I,364,1.0,46.0,8184921.0,1362544.0,1508503.0,1298752.0,893760.0,706864.0,555993.0,436597.0,336131.0,285894.0,269686.0,242072.0,288125.0,83,True,The Box,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,196653.0,4.0
7ytR5pFWmSjzHJIeQkgog4,259,1.0,15.0,8138114.0,,,,283322.0,1410253.0,1500530.0,1321116.0,988050.0,800412.0,689587.0,561962.0,582882.0,84,True,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch","4r63FhuTkUYltbVAg5TQnk, 757aE44tKEUQEqRuT6GnEB",0.746,0.69,11.0,-7.956,1.0,0.164,0.247,0.0,0.101,0.497,89.977,181733.0,4.0
0VjIjW4GlUZAMYd2vXMi3b,286,1.0,13.0,8106920.0,,,501524.0,1208724.0,1079302.0,933434.0,905336.0,773529.0,716584.0,670249.0,607112.0,711126.0,91,False,Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,4.0
0gCNs3jCCDhObAK0MRghtv,366,5.0,23.0,8100266.0,1077979.0,922253.0,837495.0,610700.0,593482.0,565289.0,538414.0,515594.0,541766.0,626310.0,587985.0,682999.0,66,False,Catching Feelings (feat. SIX60),"Drax Project, SIX60","6S0IvKlvPMX1RtAYtVpUV8, 1caoBfXJrbKCwIaTzGkyHn",0.396,0.521,3.0,-5.877,1.0,0.101,0.605,0.0,0.157,0.34,175.558,218854.0,4.0
6UelLqGlWMcVH1E5c4H7lY,366,8.0,23.0,7976518.0,807686.0,599570.0,616571.0,447967.0,516261.0,738618.0,817859.0,744736.0,706306.0,706993.0,624859.0,649092.0,88,False,Watermelon Sugar,Harry Styles,6KImCVD70vtIoJWnq6nGn3,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,4.0
1xQ6trAsedVPCdbtDAmk0c,204,1.0,9.0,7966986.0,,,,,,892960.0,1894478.0,1461586.0,1182087.0,1004117.0,769591.0,762167.0,80,True,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo","56mfhUDKa1vec6rSLZV5Eg, 07YZf4WDAMNwqr4jfgOZ8y",0.767,0.481,0.0,-8.52,0.0,0.0803,0.234,0.0,0.269,0.761,150.076,171375.0,4.0
23TPP1eeElFfvYVznskwCY,366,3.0,29.0,7966578.0,1212948.0,1090175.0,1015397.0,671385.0,595560.0,551699.0,523893.0,447254.0,422115.0,471859.0,442530.0,521763.0,69,False,Glitter,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4,0.801,0.589,7.0,-5.157,1.0,0.0485,0.0863,0.0,0.162,0.58,116.934,180147.0,4.0
5v7h5vQgCJKZT5vB3I9s3o,226,1.0,6.0,7939980.0,967015.0,1310695.0,1325291.0,977154.0,998377.0,952253.0,1016406.0,392789.0,,,,,61,False,In the Air,L.A.B.,3eAOH2az3fQIfX2UAw0FfC,0.974,0.643,9.0,-8.857,0.0,0.0452,0.105,0.00141,0.0833,0.967,117.985,252680.0,4.0
4PFAQAuJ9dEgamYO88Zp9P,366,10.0,26.0,7414819.0,711733.0,758473.0,777768.0,622877.0,631568.0,617611.0,558635.0,506137.0,489561.0,549757.0,534687.0,656012.0,47,True,Long Gone,SIX60,1caoBfXJrbKCwIaTzGkyHn,0.655,0.416,2.0,-6.449,1.0,0.0724,0.504,0.0,0.0804,0.536,91.85,178080.0,4.0
2gMXnyrvIjhVBUZwvLZDMP,365,11.0,30.0,7184844.0,871328.0,847559.0,780033.0,587725.0,608777.0,607576.0,610726.0,543921.0,488939.0,458070.0,399759.0,380431.0,83,False,Before You Go,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,0.459,0.575,3.0,-4.858,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,215107.0,4.0
7qEHsqek33rTcFNT9PFqLf,366,17.0,31.0,6865559.0,745212.0,670789.0,663903.0,559227.0,579159.0,570046.0,556491.0,537848.0,507537.0,517092.0,483712.0,474543.0,86,False,Someone You Loved,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,4.0
4umIPjkehX1r7uhmGvXiSV,320,1.0,37.0,6855734.0,,767926.0,1349872.0,904906.0,790047.0,673346.0,599612.0,470919.0,356752.0,339486.0,293830.0,309038.0,76,False,Intentions (feat. Quavo),"Justin Bieber, Quavo","1uNFoZAHBGtllmzznpCI3s, 0VRj0yCOv2FXJNP47XQnx5",0.806,0.546,9.0,-6.637,1.0,0.0575,0.3,0.0,0.102,0.874,147.986,212867.0,4.0
3jjujdWJ72nww5eGnfs2E7,364,9.0,36.0,6831855.0,878272.0,854146.0,905528.0,681515.0,623910.0,518824.0,457384.0,442070.0,409782.0,380943.0,332011.0,347470.0,83,False,Adore You,Harry Styles,6KImCVD70vtIoJWnq6nGn3,0.676,0.771,8.0,-3.675,1.0,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133.0,4.0
21jGcNKet2qwijlDFuPiPb,365,3.0,39.0,6701055.0,1107902.0,876011.0,804877.0,591374.0,561955.0,484135.0,445411.0,393920.0,368202.0,364878.0,332045.0,370345.0,86,False,Circles,Post Malone,246dkjvS1zLTtiykXe5h60,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280.0,4.0
