track_id,times_in_daily_chart,top_peak_pos,avg_chart_pos,total_streams,January_streams,February_streams,March_streams,April_streams,May_streams,June_streams,July_streams,August_streams,September_streams,October_streams,November_streams,December_streams,popularity,explicit,name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
65sEZZaxTjLMD8vNgPoMz5,366,1.0,14.0,53918712.0,7919613.0,7879608.0,6757235.0,4218509.0,3968088.0,3917720.0,3956953.0,3620688.0,3211123.0,2949886.0,2702587.0,2816702.0,65,False,Imahe,Magnus Haven,28B54RKpJrEmDoGSTjsfY6,0.604,0.446,9.0,-8.01,1.0,0.0341,0.63,0.0,0.0859,0.199,143.946,321817.0,4.0
2Mo4pOpCYXOu33856sMQLh,366,1.0,27.0,44368025.0,7411930.0,7614406.0,6249502.0,3858902.0,2975663.0,2448683.0,2206913.0,2264185.0,2241801.0,2420474.0,2186986.0,2488580.0,70,False,Make It With You,Ben&Ben,4DAcJXcjX0zlQAZAPAx4Zb,0.558,0.458,4.0,-10.711,1.0,0.0485,0.7,2.11e-05,0.186,0.342,86.877,209783.0,4.0
4umIPjkehX1r7uhmGvXiSV,322,1.0,21.0,43667925.0,,3605209.0,7668279.0,5778008.0,5058536.0,4417026.0,4230048.0,3477385.0,3070319.0,2931879.0,1613461.0,1817775.0,76,False,Intentions (feat. Quavo),"Justin Bieber, Quavo","1uNFoZAHBGtllmzznpCI3s, 0VRj0yCOv2FXJNP47XQnx5",0.806,0.546,9.0,-6.637,1.0,0.0575,0.3,0.0,0.102,0.874,147.986,212867.0,4.0
7qEHsqek33rTcFNT9PFqLf,366,7.0,22.0,41494552.0,4428649.0,4986254.0,5027930.0,3804775.0,3556320.0,3524186.0,3593630.0,2953967.0,2567537.0,2576274.0,2221661.0,2253369.0,86,False,Someone You Loved,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,4.0
5l9g7py8RCblcvbZgGQgSd,366,3.0,35.0,38937198.0,6727710.0,6444053.0,5744114.0,3396421.0,2261182.0,2367641.0,2266993.0,2224862.0,2091080.0,1676319.0,1735933.0,2000890.0,64,False,Pagtingin,Ben&Ben,4DAcJXcjX0zlQAZAPAx4Zb,0.669,0.42,2.0,-8.464,1.0,0.0253,0.506,0.0,0.404,0.523,95.049,227370.0,4.0
2b8fOow8UzyDFAE27YhOZM,366,2.0,36.0,37961944.0,7681190.0,6023993.0,4710818.0,2865437.0,2211250.0,2302490.0,2221069.0,2003522.0,2023001.0,2175894.0,1771531.0,1971749.0,85,False,Memories,Maroon 5,04gDigrS5kc9YWfZHwBETP,0.764,0.32,11.0,-7.209,1.0,0.0546,0.837,0.0,0.0822,0.575,91.019,189486.0,4.0
47UUjZbqZjcrzELnFBB1Ht,281,1.0,12.0,37958825.0,,,362305.0,4017064.0,4577423.0,4655511.0,4445407.0,5252966.0,4546382.0,3872907.0,3148466.0,3080394.0,61,False,Teka Lang,Emman,3FwNjtXQCdxpDOXmgJQGnG,0.586,0.169,2.0,-15.515,1.0,0.0324,0.76,0.0,0.0909,0.197,87.003,196583.0,4.0
2wrJq5XKLnmhRXHIAf9xBa,366,7.0,33.0,37349306.0,5738452.0,5680860.0,4959997.0,3521063.0,3019725.0,2328837.0,1988622.0,1861567.0,2018894.0,2242625.0,1869209.0,2119455.0,80,False,"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber","7z5WFjZAIYejWy0NI5lv4T, 1uNFoZAHBGtllmzznpCI3s",0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,167693.0,4.0
3WUEs51GpcvlgU7lehLgLh,366,17.0,29.0,34341537.0,3799547.0,4069857.0,3527787.0,2484648.0,2469632.0,2530607.0,2540565.0,2592954.0,2550331.0,2669107.0,2487798.0,2618704.0,68,False,Kathang Isip,Ben&Ben,4DAcJXcjX0zlQAZAPAx4Zb,0.491,0.314,10.0,-8.58,1.0,0.0301,0.776,4.76e-06,0.152,0.295,126.921,318814.0,4.0
6VqZS3Wmf53pbfDBVEYvnP,366,9.0,37.0,34094709.0,5144973.0,5035798.0,4717579.0,3105023.0,2530770.0,1814613.0,1687972.0,1962165.0,2024510.0,1848756.0,2053796.0,2168754.0,62,False,Hindi Tayo Pwede,The Juans,1YlibpAvhJBbMZMBwN1KGv,0.283,0.281,11.0,-11.414,1.0,0.035,0.437,0.00114,0.102,0.127,79.919,303937.0,4.0
4HBZA5flZLE435QTztThqH,238,1.0,11.0,31732004.0,,,,,4108463.0,4699334.0,4774499.0,4008699.0,3912075.0,3748544.0,3138785.0,3341605.0,83,False,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber","66CXWjxzNUsdJxJ2JdwvnR, 1uNFoZAHBGtllmzznpCI3s",0.597,0.45,8.0,-6.658,1.0,0.0418,0.223,0.0,0.382,0.537,178.765,228482.0,3.0
3R6Hl2e7hAyCfofRRToKAo,283,5.0,20.0,31074624.0,,,314876.0,3103655.0,3692904.0,4256164.0,4334693.0,3494971.0,3163941.0,3294716.0,2770012.0,2648692.0,59,False,Malayo Ka Man,"Jr Crown, Kath, Cyclone, Young Weezy","3r0NbTTxtCBUyxcIR4prXr, 6EJq8HkmiNvcbGyKGNs43M, 1mu7fvV0tXEx4O3NROKgze, 0lLCFkAncltHh96BcwLU0b",0.87,0.597,1.0,-8.339,1.0,0.0613,0.18,0.0,0.0902,0.56,103.019,254139.0,4.0
