County,Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misd,DWI Misd,Property Misd,Other Misd
Albany,2018,7115,2547,524,527,137,1359,4568,843,807,1536,1382
Allegany,2018,827,256,46,66,32,112,571,49,121,123,278
Bronx,2018,47420,15736,3121,6009,141,6465,31684,6177,954,7786,16767
Broome,2018,5076,1424,271,313,71,769,3652,782,422,1271,1177
Cattaraugus,2018,1688,559,174,88,58,239,1129,149,267,333,380
Cayuga,2018,1304,361,40,81,25,215,943,82,166,320,375
Chautauqua,2018,3433,1021,159,202,71,589,2412,481,409,663,859
Chemung,2018,2027,548,121,133,47,247,1479,297,231,496,455
Chenango,2018,885,271,64,52,25,130,614,78,120,188,228
Clinton,2018,1877,649,132,123,57,337,1228,147,321,356,404
Columbia,2018,1381,365,83,60,37,185,1016,288,201,236,291
Cortland,2018,1239,355,60,59,19,217,884,184,155,281,264
Delaware,2018,893,259,60,39,22,138,634,100,112,156,266
Dutchess,2018,4475,1335,229,245,126,735,3140,619,865,686,970
Erie,2018,21005,7022,1239,1934,329,3520,13983,3101,1735,4386,4761
Essex,2018,702,197,24,32,28,113,505,97,165,88,155
Franklin,2018,1169,415,109,59,23,224,754,93,167,182,312
Fulton,2018,1210,379,74,66,32,207,831,124,167,219,321
Genesee,2018,1240,380,28,72,56,224,860,90,241,242,287
Greene,2018,1418,426,121,50,64,191,992,240,303,190,259
Hamilton,2018,55,20,3,4,1,12,35,5,5,9,16
Herkimer,2018,1044,250,19,54,34,143,794,107,198,215,274
Jefferson,2018,2201,616,140,114,55,307,1585,126,343,561,555
Kings,2018,56602,24354,3324,7801,212,13017,32248,6835,1282,9759,14372
Lewis,2018,350,107,21,23,7,56,243,11,71,61,100
Livingston,2018,1139,359,68,50,46,195,780,173,209,147,251
Madison,2018,1302,382,76,68,32,206,920,124,162,320,314
Monroe,2018,14165,4580,617,1116,403,2444,9585,792,1645,3719,3429
Montgomery,2018,1134,337,51,57,26,203,797,111,126,233,327
Nassau,2018,17417,4874,1001,1136,298,2439,12543,5358,1822,2354,3009
New York,2018,51889,17826,2354,4341,102,11029,34063,6045,1222,14412,12384
Niagara,2018,4590,1479,190,347,85,857,3111,442,551,961,1157
Oneida,2018,5136,1247,186,252,80,729,3889,554,332,1595,1408
Onondaga,2018,10709,3559,544,891,182,1942,7150,1367,1105,2494,2184
Ontario,2018,1930,623,137,86,65,335,1307,181,287,433,406
Orange,2018,8969,2545,709,479,215,1142,6424,1510,1209,1886,1819
Orleans,2018,821,263,41,47,19,156,558,41,102,182,233
Oswego,2018,2888,743,80,123,65,475,2145,289,325,877,654
Otsego,2018,1082,307,72,58,26,151,775,96,157,238,284
Putnam,2018,1309,316,97,63,35,121,993,255,382,106,250
Queens,2018,40893,16209,1918,5302,245,8744,24684,3096,1475,7785,12328
Rensselaer,2018,3239,1148,180,248,76,644,2091,279,368,733,711
Richmond,2018,8752,3237,528,866,69,1774,5515,1213,618,1495,2189
Rockland,2018,3432,1013,111,257,75,570,2419,384,548,670,817
Saratoga,2018,4036,1071,179,173,127,592,2965,500,747,783,935
Schenectady,2018,3936,1327,234,258,53,782,2609,268,247,959,1135
Schoharie,2018,399,102,5,18,15,64,297,27,62,90,118
Schuyler,2018,315,100,21,15,22,42,215,29,75,49,62
Seneca,2018,685,227,40,29,40,118,458,44,87,138,189
Steuben,2018,2073,762,221,130,66,345,1311,233,289,334,455
St. Lawrence,2018,2186,664,146,134,39,345,1522,263,263,453,543
Suffolk,2018,20386,5012,912,929,408,2763,15374,4480,2513,3966,4415
Sullivan,2018,1970,608,93,120,37,358,1362,391,254,370,347
Tioga,2018,704,214,47,34,25,108,490,110,96,95,189
Tompkins,2018,1258,322,48,81,30,163,936,131,157,376,272
Ulster,2018,4071,1128,223,157,128,620,2943,657,648,700,938
Unknown-NonNYS,2018,86,64,9,22,0,33,22,4,1,9,8
Warren,2018,1793,466,81,67,41,277,1327,223,292,420,392
Washington,2018,1277,397,50,56,46,245,880,199,206,160,315
Wayne,2018,1524,410,44,49,62,255,1114,117,191,410,396
Westchester,2018,13212,4017,731,957,212,2117,9195,2135,1536,2022,3502
Wyoming,2018,815,291,51,56,41,143,524,69,211,78,166
Yates,2018,317,106,16,12,18,60,211,27,55,38,91
Albany,2017,8006,2851,647,573,174,1457,5155,922,983,1739,1511
Allegany,2017,798,215,42,42,29,102,583,59,154,141,229
Bronx,2017,54319,17279,3838,6365,136,6940,37040,8652,981,10828,16579
Broome,2017,5586,1473,263,346,66,798,4113,980,373,1447,1313
Cattaraugus,2017,1689,509,115,69,60,265,1180,131,316,318,415
Cayuga,2017,1273,407,53,58,37,259,866,57,168,289,352
Chautauqua,2017,3593,1062,260,214,73,515,2531,452,482,720,877
Chemung,2017,2014,523,103,107,53,260,1491,254,215,589,433
Chenango,2017,783,241,65,44,14,118,542,59,83,190,210
Clinton,2017,1939,653,103,105,66,379,1286,140,318,409,419
Columbia,2017,1247,320,76,53,28,163,927,225,191,202,309
Cortland,2017,1385,399,88,54,34,223,986,170,135,386,295
Delaware,2017,929,268,70,37,31,130,661,102,107,164,288
Dutchess,2017,5252,1536,269,265,132,870,3716,696,1005,945,1070
Erie,2017,20965,6533,1034,1811,317,3371,14432,3065,1929,4609,4829
Essex,2017,689,199,37,33,23,106,490,65,123,133,169
Franklin,2017,1245,408,97,65,31,215,837,102,157,236,342
Fulton,2017,1110,396,49,54,29,264,714,79,142,213,280
Genesee,2017,1230,418,62,91,38,227,812,108,210,245,249
Greene,2017,1394,373,94,53,43,183,1021,209,326,211,275
Hamilton,2017,51,20,1,7,5,7,31,7,10,2,12
