Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misd,DWI Misd,Property Misd,Other Misd
2018,6484.0,2193.0,354.0,592.0,84.0,1164.0,4290.0,846.0,483.0,1308.0,1653.0
2017,7140.0,2260.0,386.0,605.0,88.0,1181.0,4880.0,1057.0,515.0,1587.0,1721.0
2016,7581.0,2374.0,405.0,636.0,89.0,1244.0,5207.0,1041.0,540.0,1811.0,1816.0
2015,7722.0,2308.0,399.0,631.0,92.0,1186.0,5414.0,1053.0,540.0,1955.0,1867.0
2014,8375.0,2388.0,437.0,645.0,91.0,1216.0,5987.0,1293.0,582.0,2113.0,1999.0
2013,8682.0,2451.0,478.0,669.0,93.0,1210.0,6231.0,1337.0,604.0,2156.0,2134.0
2012,8941.0,2467.0,476.0,690.0,96.0,1205.0,6473.0,1522.0,606.0,2180.0,2166.0
2011,9160.0,2483.0,496.0,702.0,99.0,1185.0,6678.0,1684.0,628.0,2157.0,2208.0
2010,9306.0,2546.0,531.0,695.0,109.0,1211.0,6760.0,1675.0,681.0,2167.0,2237.0
2009,9315.0,2604.0,583.0,708.0,100.0,1214.0,6711.0,1645.0,729.0,2093.0,2245.0
2008,9178.0,2701.0,638.0,725.0,103.0,1236.0,6477.0,1607.0,738.0,1935.0,2197.0
2007,9138.0,2742.0,698.0,708.0,104.0,1233.0,6396.0,1626.0,744.0,1791.0,2235.0
2006,8720.0,2687.0,671.0,724.0,99.0,1193.0,6033.0,1444.0,734.0,1664.0,2191.0
2005,8422.0,2593.0,620.0,715.0,94.0,1164.0,5829.0,1310.0,717.0,1779.0,5657.0
2004,8124.0,2490.0,577.0,699.0,87.0,1127.0,5634.0,1246.0,689.0,1609.0,2090.0
2003,8208.0,2474.0,545.0,733.0,81.0,1115.0,5733.0,1422.0,655.0,1615.0,2041.0
2002,8377.0,2654.0,636.0,777.0,86.0,1155.0,5722.0,1522.0,625.0,1508.0,2067.0
2001,8335.0,2653.0,629.0,798.0,86.0,1141.0,5682.0,1481.0,603.0,1544.0,2053.0
2000,9124.0,2829.0,754.0,836.0,92.0,1147.0,6294.0,1871.0,636.0,1696.0,2092.0
1999,8787.0,2879.0,813.0,859.0,90.0,1117.0,5909.0,1502.0,630.0,1736.0,2041.0
1998,9308.0,3096.0,905.0,943.0,92.0,1156.0,6212.0,1536.0,668.0,1921.0,2086.0
1997,9210.0,3111.0,832.0,999.0,89.0,1190.0,6099.0,1247.0,663.0,2091.0,2097.0
1996,8897.0,3111.0,889.0,1004.0,85.0,1133.0,5786.0,1088.0,671.0,1977.0,2050.0
1995,8742.0,3117.0,862.0,1060.0,79.0,1117.0,5625.0,1049.0,672.0,1985.0,1919.0
1994,8456.0,3135.0,873.0,1108.0,73.0,1082.0,5321.0,880.0,699.0,1973.0,1769.0
1993,7594.0,2917.0,791.0,1060.0,71.0,996.0,4677.0,626.0,727.0,1731.0,1593.0
1992,7648.0,3006.0,808.0,1090.0,72.0,1036.0,4642.0,566.0,774.0,1743.0,1559.0
1991,7957.0,3186.0,844.0,1147.0,70.0,1125.0,4771.0,583.0,811.0,1775.0,1602.0
1990,8123.0,3304.0,921.0,1146.0,77.0,1161.0,4819.0,700.0,872.0,1662.0,1585.0
1989,8246.0,3357.0,974.0,1146.0,66.0,1171.0,4889.0,933.0,836.0,1515.0,1605.0
1988,7969.0,3106.0,817.0,1093.0,63.0,1132.0,4863.0,929.0,834.0,1518.0,1582.0
1987,7541.0,2808.0,664.0,1038.0,57.0,1050.0,4733.0,846.0,813.0,1567.0,1506.0
1986,7150.0,2708.0,537.0,1023.0,54.0,1094.0,4442.0,760.0,807.0,1395.0,1480.0
1985,6606.0,2380.0,383.0,941.0,47.0,1009.0,4226.0,669.0,878.0,1282.0,1397.0
1984,6329.0,2352.0,365.0,958.0,46.0,983.0,3977.0,584.0,901.0,1201.0,1292.0
1983,6005.0,2226.0,300.0,915.0,57.0,954.0,3778.0,460.0,840.0,1264.0,1215.0
1982,5870.0,2235.0,280.0,932.0,48.0,974.0,3635.0,395.0,768.0,1281.0,1192.0
1981,5306.0,2133.0,244.0,819.0,34.0,1037.0,3173.0,305.0,628.0,1146.0,1093.0
1980,5049.0,2055.0,186.0,729.0,31.0,1110.0,2995.0,243.0,594.0,1116.0,1041.0
1979,5062.0,2072.0,181.0,734.0,29.0,1127.0,2990.0,221.0,518.0,1161.0,1091.0
1978,4970.0,1991.0,165.0,698.0,23.0,1105.0,2979.0,225.0,492.0,1122.0,1140.0
1977,4919.0,2091.0,230.0,680.0,19.0,1162.0,2828.0,280.0,387.0,1098.0,1063.0
1976,4779.0,2053.0,268.0,693.0,15.0,1076.0,2726.0,343.0,389.0,1028.0,967.0
1975,4456.0,1874.0,233.0,666.0,12.0,963.0,2581.0,326.0,396.0,984.0,876.0
1974,4294.0,1822.0,256.0,628.0,11.0,927.0,2472.0,352.0,415.0,832.0,873.0
1973,3810.0,1607.0,229.0,557.0,9.0,812.0,2203.0,339.0,398.0,658.0,808.0
1972,3897.0,1707.0,266.0,544.0,8.0,890.0,2190.0,368.0,328.0,664.0,831.0
1971,3292.0,1751.0,381.0,466.0,7.0,898.0,1541.0,436.0,173.0,400.0,532.0
1970,2742.0,1570.0,450.0,381.0,4.0,734.0,1172.0,489.0,107.0,218.0,359.0
