parent,child
Place,AmusementParkAttraction
Place,BodyOfWater
Place,Building
Place,CelestialBody
Place,ClericalAdministrativeRegion
Place,Infrastructure
Place,NaturalPlace
Place,RaceTrack
Place,RouteOfTransportation
Place,Satellite
Place,Settlement
Place,SportFacility
Place,Station
Place,Stream
Place,Tower
Place,Venue
Species,Animal
Species,Eukaryote
Species,FloweringPlant
Species,Horse
Species,Plant
SportsSeason,FootballLeagueSeason
SportsSeason,SportsTeamSeason
TopicalConcept,Genre
UnitOfWork,LegalCase
Work,Cartoon
Work,Comic
Work,Database
Work,MusicalWork
Work,PeriodicalLiterature
Work,Software
Work,Song
Work,WrittenWork
root,Place
root,Species
root,SportsSeason
root,TopicalConcept
root,UnitOfWork
root,Work
,root
AmusementParkAttraction,RollerCoaster
Animal,Amphibian
Animal,Arachnid
Animal,Bird
Animal,Crustacean
Animal,Fish
Animal,Insect
Animal,Mollusca
Animal,Reptile
BodyOfWater,Lake
Building,Castle
Building,HistoricBuilding
Building,Hospital
Building,Hotel
Building,Museum
Building,Prison
Building,Restaurant
Building,ShoppingMall
Cartoon,Anime
Cartoon,HollywoodCartoon
CelestialBody,Galaxy
CelestialBody,Planet
ClericalAdministrativeRegion,Diocese
Comic,ComicStrip
Comic,Manga
Database,BiologicalDatabase
Eukaryote,Fungus
FloweringPlant,Grape
FootballLeagueSeason,NationalFootballLeagueSeason
Genre,MusicGenre
Horse,RaceHorse
Infrastructure,Airport
Infrastructure,Dam
LegalCase,SupremeCourtOfTheUnitedStatesCase
MusicalWork,Album
MusicalWork,ArtistDiscography
MusicalWork,ClassicalMusicComposition
MusicalWork,Musical
MusicalWork,Single
NaturalPlace,Cave
NaturalPlace,Glacier
NaturalPlace,Mountain
NaturalPlace,MountainPass
NaturalPlace,MountainRange
NaturalPlace,Volcano
PeriodicalLiterature,AcademicJournal
PeriodicalLiterature,Magazine
PeriodicalLiterature,Newspaper
Plant,Conifer
Plant,CultivatedVariety
Plant,Cycad
Plant,Fern
Plant,GreenAlga
Plant,Moss
RaceTrack,Racecourse
RouteOfTransportation,Bridge
RouteOfTransportation,RailwayLine
RouteOfTransportation,Road
RouteOfTransportation,RoadTunnel
Satellite,ArtificialSatellite
Settlement,Town
Settlement,Village
Software,VideoGame
Song,EurovisionSongContestEntry
SportFacility,CricketGround
SportFacility,GolfCourse
SportFacility,Stadium
SportsTeamSeason,BaseballSeason
SportsTeamSeason,NCAATeamSeason
SportsTeamSeason,SoccerClubSeason
Station,RailwayStation
Stream,Canal
Stream,River
Tower,Lighthouse
Venue,Theatre
WrittenWork,Play
WrittenWork,Poem
