alpha-2,sum
AE,968947
AF,16792
AG,270545
AL,119594
AM,85350
AO,74742
AR,227737
AT,547041
AU,525663
AZ,171219
BA,115637
BB,207120
BD,34612
BE,516141
BF,18329
BG,190709
BH,547356
BI,9746
BJ,24030
BN,1028628
BO,72467
BR,178599
BS,388694
BT,86274
BW,177866
BY,188026
BZ,96603
CA,525467
CF,10952
CG,68034
CH,711891
CL,246842
CM,38810
CN,128430
CO,146990
CR,166312
CV,68262
CY,398509
CZ,357331
DE,532067
DJ,2744
DK,567542
DM,121568
DO,148330
DZ,163814
EC,124028
EE,293326
EG,120199
ER,11061
ES,404275
ET,15439
FI,491449
FJ,102049
FM,41092
FR,472325
GA,220383
GD,143903
GE,96958
GH,42095
GM,19005
GN,23120
GQ,309769
GR,321457
GT,87243
GW,19559
GY,77489
HN,51258
HR,240392
HT,21720
HU,276772
ID,113397
IE,621629
IL,384096
IN,59878
IQ,176682
IR,213256
IS,529361
IT,454516
JM,104888
JO,107033
JP,469059
KE,33402
KG,37868
KH,32806
KI,24822
KM,32095
KN,316960
KW,897264
KZ,253006
LA,57883
LB,150236
LC,148636
LK,114800
LR,13003
LS,31141
LT,275193
LU,1124038
LV,237766
LY,214251
MA,81460
ME,158861
MG,18393
MH,43152
MK,146468
ML,23014
MM,47863
MN,114729
MR,44390
MT,380091
MU,206159
MV,141656
MW,13443
MX,214275
MY,280379
MZ,11924
NA,113351
NE,11104
NG,62119
NI,54669
NL,577028
NO,786243
NP,26795
NR,96753
NZ,419595
OM,522365
PA,217508
PE,130724
PG,41934
PH,76640
PK,53314
PL,276753
PT,336649
PW,168057
PY,129908
QA,1273386
RO,229772
RS,155740
RU,288973
RW,18616
SA,616866
SB,26493
SC,282898
SD,45735
SE,544068
SG,929863
SI,351550
SK,298991
SL,16955
SM,698788
SN,36365
SR,171473
SS,20915
ST,27450
SV,83106
TD,22120
TG,17572
TH,172011
TJ,31083
TL,82919
TM,149863
TN,124389
TO,65742
TR,252992
TT,342607
TV,40411
UA,99567
UG,19487
UY,221998
UZ,58627
VC,122548
VE,215699
VN,58094
VU,36202
WS,68413
YE,45794
ZA,149899
ZM,41514
ZW,32312
