alpha-2,sum
AE,856597.0
AG,253072.0
AL,115136.0
AM,81608.0
AO,69981.0
AR,216364.0
AT,515699.0
AU,496994.0
AZ,162429.0
BB,192997.0
BD,33286.0
BE,485493.0
BF,17485.0
BG,181412.0
BH,512243.0
BI,8719.0
BJ,22567.0
BN,943935.0
BO,68764.0
BR,168257.0
BS,357688.0
BT,83920.0
BW,169364.0
BY,179659.0
BZ,91487.0
CA,494081.0
CF,9969.0
CG,62711.0
CH,663709.0
CI,36322.0
CL,237872.0
CM,35806.0
CN,126908.0
CO,139261.0
CR,158568.0
CV,66586.0
CY,376037.0
CZ,337308.0
DE,500780.0
DK,533756.0
DM,114910.0
DO,142814.0
DZ,153516.0
EC,116565.0
EG,114301.0
ES,380516.0
ET,14784.0
FI,462543.0
FJ,96157.0
FM,38370.0
FR,442861.0
GA,200826.0
GD,136665.0
GE,88974.0
GH,40194.0
GM,17560.0
GN,21777.0
GQ,308751.0
GR,300771.0
GT,82142.0
GW,17925.0
GY,74614.0
HN,48050.0
HT,19606.0
ID,108771.0
IE,599971.0
IL,363368.0
IN,57972.0
IQ,165127.0
IR,201892.0
IS,499295.0
IT,423374.0
JM,97587.0
JO,100748.0
JP,438477.0
KE,31054.0
KG,34393.0
KI,22878.0
KM,29514.0
KN,301479.0
KZ,239956.0
LA,56175.0
LB,144652.0
LC,139003.0
LK,111187.0
LS,29842.0
LU,1066420.0
MA,77537.0
MG,16740.0
MH,40242.0
MK,136835.0
ML,21740.0
MM,47133.0
MN,109606.0
MR,41589.0
MT,363929.0
MU,198578.0
MW,12696.0
MX,200695.0
MY,269822.0
MZ,11538.0
NE,10211.0
NG,58758.0
NI,51696.0
NL,544723.0
NO,743429.0
NP,25607.0
NZ,395557.0
OM,487323.0
PA,209653.0
PE,125470.0
PG,39716.0
PH,72626.0
PK,50258.0
PL,266476.0
PT,316482.0
PY,121975.0
RO,218326.0
RU,268334.0
RW,17748.0
SA,574166.0
SB,24610.0
SC,268681.0
SD,43973.0
SE,513092.0
SG,894951.0
SI,332651.0
SL,15707.0
SN,34042.0
SR,161056.0
SV,78594.0
TD,21011.0
TG,16274.0
TH,165358.0
TJ,27422.0
TM,141546.0
TN,118781.0
TO,62165.0
TR,241592.0
TT,331695.0
TV,38034.0
UA,89103.0
UG,18714.0
UY,212156.0
UZ,55538.0
VC,116971.0
VE,201080.0
VN,56636.0
VU,33652.0
WS,64762.0
YE,42368.0
ZA,139999.0
ZM,39175.0
ZW,29492.0
