date, duration, subject
2021-10-02,60min,pandas tutorial
2021-10-02,155min,project dataset
2021-10-02,start:2230,end:0200,project dataset
2021-10-03,start:1135,end:1222,project dataset
2021-10-03,start:1400,end:1426,project dataset
2021-10-03,start:1643,end:1837,videos 3 + quiz 3
2021-10-03,start:2100,end:0000,homework1
2021-10-04,start:0943,end:1001,homework1
2021-10-04,start:1331,end:1409,homework1
2021-10-04,start:1630,end:1915,homework1
2021-10-05,start:1630,end:1742:,homework3
2021-10-05,start:1945,end:2257:,lab3
2021-10-06,start:1625,end:2100:,CP2
2021-10-06,start:2200,end:2318:,CP2
2021-10-07,start:1125,end:1210:,CP2
2021-10-07,start:1922,end:2155:,CP2
