County,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misd,DWI Misd,Property Misd,Other Misd
Albany,7811.0,2356.0,455.0,609.0,116.0,1176.0,5456.0,616.0,1196.0,1695.0,1948.0
Allegany,856.0,204.0,22.0,45.0,23.0,114.0,652.0,22.0,175.0,166.0,289.0
Bronx,53765.0,22502.0,6710.0,7870.0,54.0,7867.0,31263.0,10472.0,929.0,9301.0,10561.0
Broome,4459.0,1169.0,197.0,277.0,90.0,605.0,3290.0,279.0,506.0,1243.0,1262.0
Cattaraugus,1625.0,347.0,43.0,74.0,52.0,179.0,1278.0,79.0,353.0,357.0,488.0
Cayuga,1408.0,342.0,47.0,77.0,21.0,198.0,1065.0,45.0,225.0,372.0,424.0
Chautauqua,3028.0,680.0,120.0,147.0,87.0,326.0,2348.0,133.0,607.0,666.0,941.0
Chemung,2008.0,461.0,65.0,105.0,56.0,236.0,1547.0,91.0,293.0,581.0,582.0
Chenango,953.0,198.0,17.0,38.0,22.0,121.0,755.0,29.0,194.0,222.0,309.0
Clinton,1770.0,459.0,73.0,91.0,44.0,252.0,1311.0,102.0,343.0,437.0,429.0
Columbia,1231.0,315.0,46.0,77.0,30.0,162.0,916.0,87.0,217.0,252.0,360.0
Cortland,1245.0,252.0,28.0,58.0,16.0,150.0,993.0,45.0,255.0,292.0,400.0
Delaware,966.0,212.0,24.0,43.0,22.0,124.0,754.0,36.0,181.0,214.0,323.0
Dutchess,5093.0,1373.0,204.0,326.0,130.0,713.0,3719.0,302.0,1013.0,1148.0,1256.0
Erie,22892.0,6799.0,1061.0,2212.0,297.0,3229.0,16093.0,2271.0,2649.0,5390.0,5784.0
Essex,759.0,195.0,22.0,38.0,20.0,115.0,564.0,38.0,198.0,132.0,195.0
Franklin,1115.0,273.0,41.0,51.0,28.0,153.0,842.0,47.0,239.0,219.0,338.0
Fulton,1050.0,250.0,25.0,50.0,25.0,150.0,800.0,28.0,207.0,248.0,318.0
Genesee,1164.0,288.0,30.0,59.0,42.0,157.0,876.0,54.0,261.0,253.0,308.0
Greene,1049.0,288.0,38.0,59.0,30.0,160.0,762.0,68.0,246.0,187.0,261.0
Hamilton,88.0,19.0,3.0,3.0,3.0,10.0,69.0,9.0,28.0,15.0,17.0
Herkimer,1037.0,240.0,23.0,61.0,28.0,129.0,797.0,34.0,228.0,222.0,312.0
Jefferson,2153.0,539.0,76.0,110.0,54.0,299.0,1614.0,91.0,449.0,473.0,601.0
Kings,68282.0,30403.0,6049.0,12079.0,107.0,12168.0,37878.0,12466.0,1409.0,11341.0,12663.0
Lewis,332.0,93.0,10.0,17.0,12.0,55.0,238.0,9.0,79.0,55.0,95.0
Livingston,1217.0,228.0,26.0,41.0,29.0,133.0,989.0,56.0,272.0,268.0,393.0
Madison,1157.0,239.0,23.0,51.0,17.0,148.0,919.0,40.0,256.0,279.0,344.0
Monroe,15928.0,4266.0,672.0,1218.0,333.0,2042.0,11663.0,760.0,1893.0,4619.0,4390.0
Montgomery,1052.0,247.0,42.0,45.0,28.0,132.0,805.0,46.0,205.0,233.0,321.0
Nassau,17024.0,5347.0,916.0,1448.0,239.0,2744.0,11677.0,1568.0,3177.0,3930.0,3002.0
New York,84806.0,31034.0,9116.0,9210.0,88.0,12621.0,53771.0,14755.0,1095.0,21418.0,16503.0
Niagara,4595.0,1270.0,169.0,386.0,68.0,647.0,3324.0,231.0,722.0,1022.0,1349.0
Oneida,4391.0,1016.0,168.0,269.0,43.0,537.0,3375.0,238.0,726.0,1123.0,1288.0
Onondaga,10281.0,3333.0,495.0,1048.0,138.0,1652.0,6948.0,651.0,1265.0,2612.0,2420.0
Ontario,1914.0,441.0,55.0,81.0,75.0,231.0,1473.0,71.0,362.0,470.0,570.0
Orange,7860.0,2043.0,398.0,507.0,170.0,967.0,5818.0,729.0,1203.0,1875.0,6501.0
Orleans,740.0,204.0,30.0,48.0,26.0,99.0,537.0,24.0,141.0,148.0,223.0
Oswego,2157.0,528.0,51.0,124.0,45.0,308.0,1629.0,73.0,428.0,530.0,598.0
