per_capita,alpha-2
3.471117008924589e-07,AL
1.2963106997485158e-05,AD
4.019590860584801e-07,AR
3.380970074695772e-07,AM
5.197753078795794e-06,AU
4.243391085886012e-06,AT
9.95250861937009e-08,AZ
6.093206562139739e-07,BH
6.347586874925349e-07,BY
5.026289225854399e-06,BE
1.211754013935171e-06,BA
2.79555234445041e-07,BR
1.7142565719239916e-06,BG
4.303541678478017e-06,CA
6.85942060690254e-07,CL
2.0923658354416512e-09,CN
5.959541507044486e-08,CO
7.924619435010295e-07,CR
2.421129292178009e-06,HR
5.840268652358009e-06,CY
1.1781264878178256e-05,DK
5.7558389244593337e-08,EC
1.9922685436944286e-08,EG
9.806524808999071e-06,EE
5.5493735173050074e-05,FI
3.4085817155569882e-06,FR
2.5020235115149376e-07,GE
4.753520673534366e-06,DE
7.924796545170625e-06,GR
1.7645398080180688e-05,GL
2.2716292403702798e-06,HU
7.373956953788886e-05,IS
5.854724864764894e-09,IN
1.8475711799706967e-08,ID
2.543896006752314e-08,IQ
3.8914530378423325e-06,IE
1.8780716007755027e-06,IL
3.6003258460043195e-06,IT
4.0989970534596163e-07,JP
4.949664877989771e-07,JO
1.2586908670964047e-05,LV
5.834549958552816e-07,LB
2.6302638154606906e-05,LI
3.261310314763553e-06,LT
4.872273354024254e-06,LU
3.1299122995443754e-08,MY
1.1354037041410444e-05,MT
1.1757740781149338e-07,MX
5.13294322964788e-05,MC
2.299781541660647e-06,NZ
4.1272709053243095e-05,NO
1.2303735047924432e-07,PE
2.6393742698171084e-06,PL
4.302678994624291e-06,PT
2.53039612525089e-06,RO
4.935825493779982e-07,RU
2.9181294276777805e-08,SA
1.9379325793255654e-06,RS
8.614248276762703e-07,SG
4.329724908522534e-06,SI
8.538503613580114e-08,ZA
1.668921279465233e-06,ES
9.379220795908484e-08,LK
4.7427463630060204e-05,SE
6.168984788796658e-06,CH
1.678061201648839e-07,TR
5.682639839878666e-07,UA
3.461323104218977e-06,US
