track_id,times_in_daily_chart,top_peak_pos,avg_chart_pos,total_streams,January_streams,February_streams,March_streams,April_streams,May_streams,June_streams,July_streams,August_streams,September_streams,October_streams,November_streams,December_streams,popularity,explicit,name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0nbXyq5TXYPCO7pr3N8S4I,365,1.0,29.0,52533366.0,11671526.0,9186690.0,7162487.0,4979041.0,3976340.0,3296798.0,2781263.0,2242766.0,1916964.0,1806410.0,1607858.0,1905223.0,83,True,The Box,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,196653.0,4.0
7ytR5pFWmSjzHJIeQkgog4,259,1.0,10.0,45747743.0,,,,2271469.0,7177413.0,7592064.0,7781434.0,6056520.0,4831889.0,3972356.0,3082942.0,2981656.0,84,True,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch","4r63FhuTkUYltbVAg5TQnk, 757aE44tKEUQEqRuT6GnEB",0.746,0.69,11.0,-7.956,1.0,0.164,0.247,0.0,0.101,0.497,89.977,181733.0,4.0
1rgnBhdG2JDFTbYkYRZAku,365,1.0,25.0,45443421.0,7717187.0,6570591.0,5651081.0,4209839.0,3642978.0,3296327.0,3253082.0,2854430.0,2369227.0,2112870.0,1811530.0,1954279.0,77,False,Dance Monkey,Tones And I,2NjfBq1NflQcKSeiDooVjY,0.826,0.593,6.0,-6.401,0.0,0.0976,0.688,0.000161,0.17,0.541,98.083,209755.0,4.0
0VjIjW4GlUZAMYd2vXMi3b,285,1.0,14.0,39688035.0,,,2711233.0,5996909.0,5333449.0,4816578.0,4670094.0,4051618.0,3371245.0,3038065.0,2724835.0,2974009.0,91,False,Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,4.0
22LAwLoDA5b4AaGSkg6bKW,314,4.0,25.0,35047297.0,,1505544.0,5062401.0,5163631.0,4322832.0,3712933.0,3681547.0,3030521.0,2506521.0,2270656.0,1853091.0,1937620.0,78,True,Blueberry Faygo,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,0.774,0.554,0.0,-7.909,1.0,0.0383,0.207,0.0,0.132,0.349,99.034,162547.0,4.0
6UelLqGlWMcVH1E5c4H7lY,365,3.0,48.0,34454534.0,2562755.0,1424883.0,1289358.0,1094048.0,1736809.0,3959891.0,5334327.0,5077529.0,4055069.0,3257043.0,2485102.0,2177720.0,88,False,Watermelon Sugar,Harry Styles,6KImCVD70vtIoJWnq6nGn3,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,4.0
21jGcNKet2qwijlDFuPiPb,364,4.0,35.0,33571428.0,5090507.0,4124743.0,3735233.0,3110007.0,3011928.0,2618222.0,2427470.0,2195394.0,2010431.0,1912198.0,1648486.0,1686809.0,86,False,Circles,Post Malone,246dkjvS1zLTtiykXe5h60,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280.0,4.0
7qEHsqek33rTcFNT9PFqLf,365,9.0,31.0,32033726.0,3705493.0,3422293.0,3225470.0,2830543.0,2644035.0,2476207.0,2415164.0,2328101.0,2274675.0,2383100.0,2195234.0,2133411.0,86,False,Someone You Loved,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,4.0
24Yi9hE78yPEbZ4kxyoXAI,215,1.0,23.0,31988847.0,1694760.0,2147996.0,3439259.0,5911935.0,6289497.0,6115665.0,6033127.0,356608.0,,,,,83,True,Roses - Imanbek Remix,"SAINt JHN, Imanbek","0H39MdGGX6dbnnQPt6NQkZ, 5rGrDvrLOV2VV8SCFVGWlj",0.77,0.724,8.0,-5.484,1.0,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840.0,4.0
4umIPjkehX1r7uhmGvXiSV,319,2.0,43.0,30848938.0,,3717711.0,5154227.0,3684860.0,3522477.0,3362776.0,3094887.0,2446159.0,1727947.0,1578867.0,1295975.0,1263052.0,76,False,Intentions (feat. Quavo),"Justin Bieber, Quavo","1uNFoZAHBGtllmzznpCI3s, 0VRj0yCOv2FXJNP47XQnx5",0.806,0.546,9.0,-6.637,1.0,0.0575,0.3,0.0,0.102,0.874,147.986,212867.0,4.0
3tjFYV6RSFtuktYl3ZtYcq,149,1.0,11.0,30631039.0,,,,,,,,4327559.0,8976831.0,7481999.0,5317179.0,4527471.0,88,True,Mood (feat. iann dior),"24kGoldn, iann dior","6fWVd57NKTalqvmjRd2t8Z, 6ASri4ePR7RlsvIQgWPJpS",0.7,0.722,7.0,-3.558,0.0,0.0369,0.221,0.0,0.272,0.756,90.989,140526.0,4.0
696DnlkuDOXcMAnKlTgXXK,357,2.0,61.0,29813249.0,6162087.0,4635757.0,3762140.0,2696627.0,2514799.0,2121926.0,1766974.0,1534127.0,1332891.0,1246226.0,1132796.0,906899.0,81,True,ROXANNE,Arizona Zervas,0vRvGUQVUjytro0xpb26bs,0.621,0.601,6.0,-5.616,0.0,0.148,0.0522,0.0,0.46,0.457,116.735,163636.0,5.0
7eJMfftS33KTjuF7lTsMCx,321,7.0,39.0,29567803.0,,1276172.0,3643424.0,4177498.0,3908616.0,3650406.0,3332797.0,2735252.0,2181287.0,1796979.0,1424838.0,1440534.0,84,False,death bed (coffee for your head),"Powfu, beabadoobee","6bmlMHgSheBauioMgKv2tn, 35l9BRT7MXmM8bv2WDQiyB",0.726,0.431,8.0,-8.765,0.0,0.135,0.731,0.0,0.696,0.348,144.026,173333.0,4.0
7FIWs0pqAYbP91WWM0vlTQ,348,2.0,64.0,29303823.0,4892640.0,5474877.0,4104189.0,2542940.0,2068722.0,1804846.0,1671432.0,1473227.0,1345579.0,1287783.0,1192642.0,1444946.0,83,True,Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD","7dGJo4pcD2V6oG8kP0tJRR, 4MCBfE4596Uoi2O4DtmEMz",0.808,0.745,10.0,-5.26,0.0,0.342,0.145,0.0,0.292,0.829,165.995,210800.0,4.0
4Oun2ylbjFKMPTiaSbbCih,146,1.0,13.0,27896960.0,,,,,,,,8215951.0,8494088.0,5199728.0,3362944.0,2624249.0,83,True,WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion","4kYSro6naA4h99UJvo89HB, 181bsRPaVXVlUKXrxwZfHK",0.935,0.454,1.0,-7.509,1.0,0.375,0.0194,0.0,0.0824,0.357,133.073,187541.0,4.0
1xQ6trAsedVPCdbtDAmk0c,201,2.0,22.0,27072518.0,,,,,,2399166.0,6251024.0,5944834.0,4773364.0,3336995.0,2411984.0,1955151.0,80,True,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo","56mfhUDKa1vec6rSLZV5Eg, 07YZf4WDAMNwqr4jfgOZ8y",0.767,0.481,0.0,-8.52,0.0,0.0803,0.234,0.0,0.269,0.761,150.076,171375.0,4.0
2gMXnyrvIjhVBUZwvLZDMP,365,21.0,42.0,26951512.0,2594088.0,2683708.0,2453381.0,2051179.0,2237487.0,2170306.0,2264569.0,2167226.0,2212584.0,2270522.0,1970947.0,1875515.0,83,False,Before You Go,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,0.459,0.575,3.0,-4.858,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,215107.0,4.0
1Cv1YLb4q0RzL6pybtaMLo,334,11.0,55.0,25792143.0,633470.0,2117858.0,3433534.0,3298535.0,3314317.0,3150445.0,2885102.0,2233519.0,1578846.0,1362778.0,1128505.0,655234.0,79,False,Sunday Best,Surfaces,4ETSs924pXMzjIeD6E9b4u,0.878,0.525,5.0,-6.832,1.0,0.0578,0.183,0.0,0.0714,0.694,112.022,158571.0,4.0
0PvFJmanyNQMseIFrU708S,181,2.0,15.0,24308847.0,,,,,,,4180649.0,4104994.0,4815173.0,4829711.0,3659456.0,2718864.0,83,True,For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Baby, DaBaby","0eDvMgVFoNV3TpwtrVCoTj, 5f7VJjfbwm532GiveGC0ZK, 4r63FhuTkUYltbVAg5TQnk",0.823,0.586,6.0,-6.606,0.0,0.2,0.114,0.0,0.193,0.347,125.971,190476.0,4.0
3jjujdWJ72nww5eGnfs2E7,355,12.0,57.0,24291792.0,3168743.0,2832641.0,2863252.0,2393222.0,2247114.0,2007188.0,1936889.0,1869563.0,1515117.0,1400518.0,1199234.0,858311.0,83,False,Adore You,Harry Styles,6KImCVD70vtIoJWnq6nGn3,0.676,0.771,8.0,-3.675,1.0,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133.0,4.0
2kJwzbxV2ppxnQoYw4GLBZ,364,19.0,60.0,23995838.0,2884361.0,2574823.0,2749292.0,2611446.0,2453573.0,1834909.0,1537163.0,1424312.0,1426380.0,1565535.0,1480819.0,1453225.0,81,False,If the World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels","66W9LaWS0DPdL7Sz8iYGYe, 0ZED1XzwlLHW4ZaG4lOT6m",0.464,0.473,1.0,-10.086,1.0,0.129,0.866,0.0,0.109,0.604,75.801,208687.0,4.0
