track_id,times_in_daily_chart,top_peak_pos,avg_chart_pos,total_streams,January_streams,February_streams,March_streams,April_streams,May_streams,June_streams,July_streams,August_streams,September_streams,October_streams,November_streams,December_streams,popularity,explicit,name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6ab3CQvDlAVttThZucwGQ1,289,1.0,21.0,57604745.0,,,831572.0,3396142.0,6767873.0,10459537.0,10347324.0,8393597.0,6405835.0,4700701.0,2931568.0,3370596.0,64,True,Angela,Hatik,05hirnMeVIzCrcUxbrysZU,0.65,0.469,2.0,-8.676,0.0,0.184,0.702,0.249,0.106,0.378,191.853,236000.0,4.0
4TnFANpjVwVKWzkxNzIyFH,366,1.0,55.0,54890293.0,13951772.0,9275060.0,6934824.0,4698312.0,4041059.0,3101660.0,2900509.0,2501124.0,2080854.0,1963031.0,1485984.0,1956104.0,61,True,Ne reviens pas,"Gradur, Heuss L'enfoirÃ©","2tcoLkA9Hexz70Kuc1NTUl, 3YwqjMyrRfuixi2pbgTGCE",0.932,0.778,10.0,-3.384,0.0,0.0638,0.212,0.0,0.168,0.933,124.996,188613.0,4.0
5HEtuK03ygUzqca6yfgOYZ,299,1.0,28.0,52920290.0,,,14376528.0,7247308.0,5802830.0,5166459.0,4765202.0,3991920.0,3300436.0,2903749.0,2500162.0,2865696.0,54,True,Lettre Ã  une femme,Ninho,6Te49r3A6f5BiIgBRxH7FH,0.487,0.398,1.0,-9.901,0.0,0.0697,0.835,0.0,0.12,0.905,149.367,157766.0,4.0
5GyyPRvEwdI4wJSUbzxHQv,351,1.0,45.0,50337205.0,8027735.0,7696388.0,5639053.0,4162381.0,4375246.0,4389509.0,4112818.0,3434773.0,2547448.0,2209153.0,1721337.0,2021364.0,64,True,Blanche,"Maes, Booba","6L34dW6SKMSDaGIfYDU19j, 58wXmynHaAWI5hwlPZP3qL",0.776,0.713,4.0,-6.121,0.0,0.143,0.525,0.0,0.306,0.551,127.987,193453.0,4.0
0KBwGCY9RYD9t2zjeW4h48,210,1.0,28.0,48784868.0,,,,,,14828983.0,12442862.0,7883206.0,5217306.0,3493556.0,2270645.0,2648310.0,63,True,Djomb - Bien ou quoi,Bosh,6Mm2g25BTeJ6BICPFWGkPg,0.945,0.676,1.0,-6.6,1.0,0.207,0.172,0.00036,0.322,0.631,123.109,141893.0,4.0
1Sb7QJRawbARgpMqyYNMkT,348,2.0,55.0,47199562.0,7583352.0,8170532.0,5691360.0,4008733.0,4030625.0,3925316.0,3577935.0,3008027.0,2250029.0,1878340.0,1415365.0,1659948.0,60,True,Distant,"Maes, Ninho","6L34dW6SKMSDaGIfYDU19j, 6Te49r3A6f5BiIgBRxH7FH",0.786,0.732,4.0,-6.254,0.0,0.176,0.545,0.0,0.0643,0.447,105.031,162013.0,4.0
1rgnBhdG2JDFTbYkYRZAku,366,3.0,45.0,45916231.0,8544669.0,6576247.0,5018043.0,3478644.0,3598217.0,3474162.0,3335801.0,2937464.0,2320253.0,2162746.0,1926972.0,2543013.0,77,False,Dance Monkey,Tones And I,2NjfBq1NflQcKSeiDooVjY,0.826,0.593,6.0,-6.401,0.0,0.0976,0.688,0.000161,0.17,0.541,98.083,209755.0,4.0
4Nfak8iMF4kQfQ6Pa8Z79m,349,4.0,51.0,45152577.0,6898775.0,7296984.0,4728598.0,3110925.0,3348954.0,3923290.0,4137129.0,3536142.0,2647437.0,2218601.0,1533293.0,1772449.0,63,True,Dybala,"Maes, Jul","6L34dW6SKMSDaGIfYDU19j, 3IW7ScrzXmPvZhB27hmfgy",0.729,0.721,10.0,-5.83,0.0,0.0761,0.256,0.0,0.111,0.537,132.304,211227.0,4.0
0VjIjW4GlUZAMYd2vXMi3b,286,1.0,26.0,44073744.0,,,3100042.0,6949075.0,6567765.0,5537063.0,5397430.0,4203813.0,3274147.0,2932190.0,2376071.0,3736148.0,91,False,Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,4.0
5BfCoUcWNXcpyJfjXRIeyC,352,2.0,75.0,41906546.0,11008680.0,7285829.0,5333494.0,3048100.0,2860472.0,2578980.0,2368375.0,2063176.0,1690703.0,1480073.0,794653.0,1394011.0,67,True,Moulaga,"Heuss L'enfoirÃ©, Jul","3YwqjMyrRfuixi2pbgTGCE, 3IW7ScrzXmPvZhB27hmfgy",0.71,0.699,7.0,-4.664,0.0,0.1,0.327,4.64e-06,0.0975,0.484,125.051,179868.0,4.0
