track_id,times_in_daily_chart,top_peak_pos,avg_chart_pos,total_streams,January_streams,February_streams,March_streams,April_streams,May_streams,June_streams,July_streams,August_streams,September_streams,October_streams,November_streams,December_streams,popularity,explicit,name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6hw1Sy9wZ8UCxYGdpKrU6M,365,1.0,28.0,96135763.0,17132038.0,12555296.0,10426161.0,7843166.0,8319737.0,7297507.0,7306378.0,6310003.0,5330977.0,5116680.0,3947405.0,4550415.0,69,True,Roller,Apache 207,1qQLhymHXFPtP5U8KNKsm6,0.941,0.758,10.0,-6.47,0.0,0.17,0.0256,0.00258,0.193,0.683,128.017,157093.0,4.0
3H7ihDc1dqLriiWXwsc2po,364,3.0,35.0,82365045.0,6233848.0,9453209.0,10586078.0,9822059.0,8170555.0,7377184.0,7368421.0,6685895.0,4844716.0,4355103.0,3588099.0,3879878.0,83,False,Breaking Me,"Topic, A7S","0u6GtibW46tFX7koQ6uNJZ, 5Wg2b4Mp42gicxEeDNawf7",0.789,0.72,8.0,-5.652,0.0,0.218,0.223,0.0,0.129,0.664,122.031,166794.0,4.0
0VjIjW4GlUZAMYd2vXMi3b,286,1.0,20.0,80896542.0,,,5454254.0,13143495.0,11589208.0,9937862.0,9230221.0,7697905.0,6280470.0,6016372.0,5097635.0,6449120.0,91,False,Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,4.0
7ytR5pFWmSjzHJIeQkgog4,258,3.0,22.0,77474247.0,,,,2612642.0,11991779.0,16215241.0,14427153.0,10039505.0,7098675.0,6015951.0,4567693.0,4505608.0,84,True,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch","4r63FhuTkUYltbVAg5TQnk, 757aE44tKEUQEqRuT6GnEB",0.746,0.69,11.0,-7.956,1.0,0.164,0.247,0.0,0.101,0.497,89.977,181733.0,4.0
1rgnBhdG2JDFTbYkYRZAku,365,2.0,46.0,76144492.0,13197789.0,10229845.0,9267553.0,8199124.0,6607465.0,5688729.0,5334277.0,4350901.0,3591968.0,3452686.0,2948492.0,3275663.0,77,False,Dance Monkey,Tones And I,2NjfBq1NflQcKSeiDooVjY,0.826,0.593,6.0,-6.401,0.0,0.0976,0.688,0.000161,0.17,0.541,98.083,209755.0,4.0
5CqkgDH8QZjSqqI3HmYxDD,230,1.0,32.0,68591498.0,,,,,9779948.0,17944588.0,13549418.0,9049809.0,6094601.0,4706832.0,3419637.0,4046665.0,69,False,Airwaves,Pashanim,34LetYSjEuG2fBb4Z8PwPg,0.885,0.578,5.0,-7.416,0.0,0.0783,0.0739,0.0903,0.102,0.388,131.999,178933.0,4.0
24Yi9hE78yPEbZ4kxyoXAI,215,3.0,15.0,67032359.0,7563048.0,7789371.0,9875257.0,12437612.0,11053977.0,9635627.0,8232345.0,445122.0,,,,,83,True,Roses - Imanbek Remix,"SAINt JHN, Imanbek","0H39MdGGX6dbnnQPt6NQkZ, 5rGrDvrLOV2VV8SCFVGWlj",0.77,0.724,8.0,-5.484,1.0,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840.0,4.0
1xQ6trAsedVPCdbtDAmk0c,202,2.0,25.0,63643777.0,,,,,,7272669.0,17006439.0,14293677.0,9924597.0,6853914.0,4512162.0,3780319.0,80,True,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo","56mfhUDKa1vec6rSLZV5Eg, 07YZf4WDAMNwqr4jfgOZ8y",0.767,0.481,0.0,-8.52,0.0,0.0803,0.234,0.0,0.269,0.761,150.076,171375.0,4.0
3tjFYV6RSFtuktYl3ZtYcq,138,1.0,12.0,57452696.0,,,,,,,,3655374.0,19182995.0,15387154.0,10484907.0,8742266.0,88,True,Mood (feat. iann dior),"24kGoldn, iann dior","6fWVd57NKTalqvmjRd2t8Z, 6ASri4ePR7RlsvIQgWPJpS",0.7,0.722,7.0,-3.558,0.0,0.0369,0.221,0.0,0.272,0.756,90.989,140526.0,4.0
1V7JaMp11LKGwKiVmSetf0,313,1.0,95.0,55497753.0,1069539.0,19852375.0,9730091.0,5297812.0,3841454.0,3144073.0,2894975.0,2516874.0,2341082.0,2226294.0,1160094.0,1423090.0,62,False,Baby,"Joker Bra, VIZE","325L7kby6bkG5qSXXAFEWM, 09agIJMxCD2k87ys9Al0f0",0.771,0.921,1.0,-4.228,0.0,0.109,0.166,0.000211,0.119,0.56,128.021,148125.0,4.0
5TGcyccg8Hkgn9jB7gUpMN,250,8.0,43.0,53045971.0,,,,409684.0,5255802.0,8898979.0,10423141.0,8795726.0,6992812.0,5324083.0,3648123.0,3297621.0,66,False,Never Let Me Down,"VIZE, Tom Gregory","09agIJMxCD2k87ys9Al0f0, 6Rmg5JiRphFMlhkwGNl9Fu",0.758,0.848,10.0,-3.84,1.0,0.0456,0.207,0.0,0.114,0.706,127.948,153149.0,4.0
1hoLUVBx0ixX3kn0EX0P5n,215,1.0,74.0,50229178.0,14279125.0,13560430.0,8121627.0,4482002.0,3605875.0,2649649.0,2368520.0,889706.0,,,,272244.0,61,False,Kein Wort,"Juju, Loredana, Miksu / Macloud","4sg4no0TXdsrM1s4SVUwNF, 2Im8m4STDBosjfmb5hmP80, 76dRoxKtDwYkgCQePok9cU",0.746,0.592,6.0,-6.861,0.0,0.0914,0.462,1.17e-05,0.187,0.629,160.065,162094.0,4.0
7mrWTjhYctgEQb0lJKrVWy,146,1.0,22.0,49448700.0,,,,,,,,14898692.0,15365706.0,9545003.0,5621093.0,4018206.0,67,False,Unterwegs,"KitschKrieg, Jamule, SFR","5tHiL8SKSaZGMBUPIiSmX4, 4sVieJlKgpZ2k9ESNS5IdN, 53EHeXzGs4HheTCTnwfPEr",0.88,0.607,6.0,-7.067,1.0,0.0777,0.195,0.0537,0.15,0.823,126.039,233905.0,4.0
2PGA1AsJal6cyMNmKyE56q,340,7.0,79.0,48852413.0,9225220.0,6575081.0,5788127.0,4229458.0,4731688.0,4061487.0,3871066.0,3316237.0,2556930.0,2251724.0,1464253.0,781142.0,64,True,200 km/h,Apache 207,1qQLhymHXFPtP5U8KNKsm6,0.899,0.67,11.0,-6.455,0.0,0.163,0.269,1.38e-05,0.105,0.413,148.065,163147.0,4.0
