track_id,times_in_daily_chart,top_peak_pos,avg_chart_pos,total_streams,January_streams,February_streams,March_streams,April_streams,May_streams,June_streams,July_streams,August_streams,September_streams,October_streams,November_streams,December_streams,popularity,explicit,name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0VjIjW4GlUZAMYd2vXMi3b,286,1.0,7.0,7728285.0,,,465189.0,1044864.0,996360.0,902194.0,962319.0,815626.0,740450.0,653959.0,554791.0,592533.0,91,False,Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,4.0
2MOq63fxuFLYQM3CsDcFs1,366,1.0,23.0,7316539.0,1069220.0,1019670.0,862760.0,628379.0,565734.0,507676.0,545695.0,549392.0,486647.0,418575.0,322468.0,340323.0,70,False,menina solta,GIULIA BE,0kjGPGtoyKwKVOZAKmv5K6,0.632,0.559,11.0,-6.74,0.0,0.0794,0.331,0.0,0.16,0.674,91.81,150026.0,4.0
0nbXyq5TXYPCO7pr3N8S4I,366,1.0,32.0,6926707.0,792289.0,1019053.0,1074995.0,850616.0,695887.0,553175.0,462468.0,389631.0,288313.0,261965.0,238158.0,300157.0,83,True,The Box,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,196653.0,4.0
19gFXFDAFUdsuaiAorKEbr,307,3.0,14.0,6570822.0,,8496.0,863119.0,827545.0,805583.0,715643.0,677301.0,605056.0,529432.0,562852.0,499606.0,476189.0,51,False,Tempo,"FRANKIEONTHEGUITAR, T-Rex, LON3R JOHNY, Bispo","4p2ytjUztJseG5ujVkv5Po, 6QHREBOQktWsYBfrxW93rk, 1fV7Au7ymGP3uhDV1TfjSd, 3LZCMaZWwvhYyQeEfWgVdY",0.757,0.607,7.0,-6.006,0.0,0.0438,0.562,6.47e-06,0.143,0.4,123.986,250169.0,4.0
1X3ltingEVNGRoJf1dvZfQ,366,5.0,29.0,6324401.0,875036.0,774584.0,712056.0,572216.0,580313.0,568693.0,521321.0,471064.0,337000.0,324377.0,267052.0,320689.0,51,False,Somos Iguais,PlutÃ³nio,39HJXjH5hKcCzaU0g6mv8G,0.645,0.699,6.0,-7.634,1.0,0.174,0.306,0.000291,0.118,0.574,91.704,237680.0,4.0
5RPewmKIUL2vWtQLI0Qp1F,329,1.0,30.0,6225702.0,1233518.0,947670.0,855850.0,600390.0,553084.0,448095.0,403723.0,375310.0,316405.0,286549.0,205108.0,,46,False,Louco,"Piruka, Bluay","5iZ6jMDkRa7RKLQplJuQUC, 18jB1ZnaJSWmro1ExvqZo4",0.727,0.51,8.0,-6.706,1.0,0.145,0.492,0.0,0.146,0.586,78.016,244000.0,4.0
7ytR5pFWmSjzHJIeQkgog4,259,1.0,12.0,6207096.0,,,,179597.0,718980.0,986101.0,1052964.0,861235.0,700013.0,686075.0,520283.0,501848.0,84,True,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch","4r63FhuTkUYltbVAg5TQnk, 757aE44tKEUQEqRuT6GnEB",0.746,0.69,11.0,-7.956,1.0,0.164,0.247,0.0,0.101,0.497,89.977,181733.0,4.0
6UelLqGlWMcVH1E5c4H7lY,366,1.0,52.0,5977990.0,317249.0,183869.0,176342.0,148151.0,231701.0,493835.0,789348.0,884892.0,824356.0,755431.0,620786.0,552030.0,88,False,Watermelon Sugar,Harry Styles,6KImCVD70vtIoJWnq6nGn3,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,4.0
1rgnBhdG2JDFTbYkYRZAku,365,2.0,43.0,5760091.0,1041222.0,873317.0,739487.0,571597.0,464228.0,382931.0,388481.0,330711.0,274038.0,244148.0,213681.0,236250.0,77,False,Dance Monkey,Tones And I,2NjfBq1NflQcKSeiDooVjY,0.826,0.593,6.0,-6.401,0.0,0.0976,0.688,0.000161,0.17,0.541,98.083,209755.0,4.0
7k4t7uLgtOxPwTpFmtJNTY,366,5.0,40.0,5685412.0,421174.0,689128.0,803839.0,606777.0,559238.0,500334.0,508101.0,467328.0,390808.0,301364.0,197353.0,239968.0,79,False,Tusa,"KAROL G, Nicki Minaj","790FomKkXshlbRYZFtlgla, 0hCNtLu0JehylgoiP8L4Gh",0.803,0.715,2.0,-3.28,1.0,0.298,0.295,0.000134,0.0574,0.574,101.085,200960.0,4.0
