track_id,times_in_daily_chart,top_peak_pos,avg_chart_pos,total_streams,January_streams,February_streams,March_streams,April_streams,May_streams,June_streams,July_streams,August_streams,September_streams,October_streams,November_streams,December_streams,popularity,explicit,name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7BjmOMyfT4PBKbZuSCwWPc,218,1.0,3.0,44017419.0,4149777.0,11733281.0,8101419.0,4838713.0,4349070.0,3965621.0,3922800.0,2956738.0,,,,,57,False,Bi Sonraki HayatÄ±mda Gel,"Murda, Ezhel","2y1VzMKAa5nmfXKtJL9jnj, 6LnJKrtFnTEGdbWQ2riWCL",0.932,0.448,8.0,-4.491,0.0,0.136,0.0253,0.0,0.104,0.736,103.98,167350.0,4.0
3aXTeIVnDvo2MT1xLTdGK3,324,1.0,9.0,41440409.0,,2493345.0,7150188.0,4975101.0,3785438.0,3275750.0,3101908.0,2903711.0,3089955.0,3629638.0,3398978.0,3636397.0,64,False,Unutulacak DÃ¼nler,Gazapizm,2boacFGRX1WIo7NFS8B0F2,0.627,0.833,5.0,-7.218,0.0,0.179,0.0655,3.26e-05,0.129,0.69,179.935,295637.0,4.0
24BvlSG2Y36Heg1dwLwHtu,366,3.0,38.0,30912330.0,3532382.0,5286747.0,5011219.0,2804344.0,2393711.0,2143291.0,2161246.0,2089481.0,1728761.0,1500560.0,1034875.0,1225713.0,47,False,UslanmÄ±yor Bu,Zeynep BastÄ±k,1mpOD8ZwHnbsryIuXWq0R1,0.697,0.719,7.0,-6.314,0.0,0.0571,0.503,0.0,0.128,0.751,86.0,193083.0,4.0
5GBbUx3eAHDgoOvdcpFObI,324,2.0,29.0,29162095.0,,3750510.0,5991068.0,3353365.0,2672122.0,2463190.0,2355045.0,2063590.0,1792297.0,1836478.0,1368000.0,1516430.0,60,False,SaÄÄ± Solu Kes,Gazapizm,2boacFGRX1WIo7NFS8B0F2,0.937,0.438,0.0,-9.278,1.0,0.292,0.0592,0.000608,0.126,0.457,120.034,264064.0,4.0
5DJEXxOutnFD5GEUVk88yE,358,1.0,23.0,28782043.0,2889012.0,3036156.0,3338804.0,2409398.0,2310777.0,2111732.0,2262695.0,2225212.0,2156315.0,2079243.0,1778858.0,2183841.0,64,False,KazÄ±lÄ± Kuyum,YÃ¼zyÃ¼zeyken KonuÅuruz,7gobcoscOfsY0nOeqqFzvU,0.62,0.645,11.0,-8.661,0.0,0.0345,0.255,0.00201,0.0781,0.883,89.997,208628.0,4.0
1RqNAiL2toZ59HTjQbFLfM,297,1.0,59.0,27770902.0,,9858293.0,5022794.0,2830052.0,2271172.0,1906296.0,1749397.0,1302525.0,1060481.0,718090.0,,1051802.0,60,False,Leila,Reynmen,1Fg19vpUJpAAPFjnKaVYVW,0.665,0.735,1.0,-6.059,1.0,0.0458,0.132,4.98e-06,0.144,0.259,104.952,169714.0,4.0
1rgnBhdG2JDFTbYkYRZAku,356,1.0,62.0,25660471.0,4199361.0,4246111.0,3543528.0,2659937.0,2312956.0,1982545.0,1749137.0,1364620.0,1101108.0,1002274.0,560403.0,938491.0,77,False,Dance Monkey,Tones And I,2NjfBq1NflQcKSeiDooVjY,0.826,0.593,6.0,-6.401,0.0,0.0976,0.688,0.000161,0.17,0.541,98.083,209755.0,4.0
350aUOZhGtTOK1dQbQFKNc,84,1.0,2.0,24608193.0,,,,,,,,,,9834757.0,8350341.0,6423095.0,58,True,AllahâÄ±ndan Bul,Ezhel,6LnJKrtFnTEGdbWQ2riWCL,0.893,0.49,5.0,-6.563,0.0,0.0589,0.197,0.000387,0.102,0.517,108.032,181074.0,4.0
3917xM4PvycBOYacEeJfXt,149,1.0,10.0,24321143.0,,,,,,,,7210577.0,6497431.0,4825012.0,3177569.0,2610554.0,51,False,Nimet,"Didomido, Eglo G","3JeCiHwACAQenCMmKSNYKS, 7eeDZp8E4iKFEGneV7ztWt",0.722,0.623,11.0,-5.687,0.0,0.0414,0.253,5.64e-06,0.191,0.363,129.898,136731.0,4.0
5XR0fbf6IAizysmuSQDoUX,366,12.0,37.0,24112833.0,2937020.0,2772660.0,2429128.0,1856772.0,1849786.0,1774505.0,1832297.0,1924938.0,1885833.0,2002079.0,1414374.0,1433441.0,59,False,EskimiÅ Senelere,Aspova,2sjnyyL9NXijL3Fr2eLikf,0.745,0.515,11.0,-9.197,0.0,0.506,0.331,0.0,0.0987,0.496,151.844,195789.0,4.0
