genre,total_genre_streams,number_of_tracks,number_of_artists
pop,54813760193.0,788.0,205.0
rap,31149702581.0,530.0,109.0
trap latino,31034960837.0,205.0,67.0
reggaeton,28443576159.0,201.0,61.0
latin,27564978021.0,216.0,68.0
dance pop,25542629295.0,452.0,128.0
pop rap,18453874301.0,348.0,80.0
melodic rap,18013957736.0,259.0,26.0
trap,17505106247.0,363.0,74.0
hip hop,12018918769.0,319.0,79.0
canadian pop,10062733477.0,136.0,11.0
reggaeton flow,8292045970.0,68.0,33.0
reggaeton colombiano,7996748356.0,82.0,10.0
uk pop,7539817759.0,90.0,18.0
electropop,7088979592.0,118.0,33.0
pop dance,6501465157.0,90.0,37.0
edm,6281551802.0,92.0,37.0
tropical house,6119543812.0,74.0,37.0
post-teen pop,5712679935.0,181.0,43.0
slap house,5363812590.0,39.0,7.0
atl hip hop,5012596207.0,187.0,24.0
chicago rap,4822379396.0,69.0,10.0
latin hip hop,4502235360.0,52.0,21.0
canadian hip hop,4240462023.0,68.0,6.0
southern hip hop,3846974411.0,129.0,44.0
toronto rap,3812657190.0,71.0,4.0
canadian contemporary r&b,3338451838.0,34.0,3.0
puerto rican pop,3005496225.0,46.0,6.0
alt z,2753483419.0,28.0,22.0
north carolina hip hop,2686003290.0,41.0,2.0
indie pop,2319350924.0,18.0,13.0
k-pop,2300267808.0,75.0,11.0
brooklyn drill,2217944960.0,31.0,5.0
pop rock,2206721122.0,26.0,19.0
r&b,2183141994.0,90.0,33.0
electro house,2141544953.0,30.0,15.0
dfw rap,2139156122.0,18.0,1.0
uk dance,2043390577.0,13.0,9.0
bedroom pop,2041382106.0,11.0,6.0
perreo,1993127803.0,12.0,8.0
colombian pop,1906296455.0,29.0,8.0
atl trap,1899542867.0,57.0,2.0
latin pop,1805415709.0,43.0,27.0
indie poptimism,1793223538.0,27.0,7.0
australian pop,1758555362.0,25.0,7.0
trap boricua,1707606730.0,31.0,2.0
modern rock,1516213488.0,36.0,21.0
gangster rap,1499658971.0,40.0,20.0
r&b en espanol,1452284609.0,18.0,3.0
cali rap,1430619683.0,19.0,10.0
panamanian pop,1427573487.0,17.0,1.0
viral pop,1395068851.0,58.0,9.0
rock,1348736169.0,68.0,36.0
sad rap,1337122024.0,5.0,5.0
trap argentino,1305632966.0,12.0,7.0
pop edm,1275939690.0,9.0,8.0
trap queen,1254792841.0,19.0,4.0
pop r&b,1253850956.0,16.0,6.0
miami hip hop,1247917460.0,12.0,4.0
emo rap,1164282743.0,17.0,4.0
k-pop girl group,1159296038.0,24.0,6.0
k-pop boy group,1151391074.0,48.0,2.0
queens hip hop,1146374617.0,13.0,4.0
alternative r&b,1126475866.0,38.0,12.0
pop reggaeton,1118037806.0,10.0,3.0
brostep,1115373981.0,13.0,3.0
etherpop,1113936145.0,20.0,1.0
progressive electro house,1074077436.0,14.0,4.0
nz pop,1073824048.0,5.0,2.0
houston rap,1052437074.0,11.0,1.0
urban contemporary,1042949233.0,37.0,22.0
hip pop,1004069731.0,22.0,13.0
adult standards,949634175.0,57.0,23.0
canadian trap,945514101.0,30.0,3.0
vapor trap,939680219.0,12.0,7.0
detroit hip hop,921669886.0,40.0,4.0
house,917304133.0,21.0,10.0
classic rock,892923562.0,31.0,20.0
pop house,889995935.0,3.0,2.0
mellow gold,837310164.0,31.0,23.0
philly rap,830411201.0,59.0,2.0
german dance,822022353.0,7.0,4.0
lounge,804793822.0,39.0,13.0
bubblegrunge,779015290.0,1.0,1.0
boy band,749004384.0,38.0,5.0
soft rock,729630109.0,27.0,22.0
scandipop,728694613.0,7.0,5.0
rhode island rap,725802393.0,2.0,1.0
kentucky hip hop,724402508.0,20.0,2.0
rap conscient,708788570.0,20.0,3.0
deep underground hip hop,707835571.0,10.0,1.0
ohio hip hop,706130637.0,40.0,2.0
country,664377051.0,20.0,11.0
talent show,593341206.0,35.0,7.0
social media pop,580382669.0,5.0,4.0
german hip hop,553649067.0,89.0,38.0
easy listening,539865997.0,24.0,9.0
bedroom soul,537160607.0,5.0,3.0
sad lo-fi,517691696.0,4.0,4.0
contemporary country,516871844.0,20.0,9.0
uk contemporary r&b,513088495.0,4.0,3.0
argentine hip hop,500813694.0,5.0,5.0
conscious hip hop,494621160.0,27.0,9.0
