artist_id,name,genres,followers,popularity,danceability,energy,tempo,valence,loudness,speechiness,liveness,acousticness,instrumentalness
3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",57611522,100,0.72,0.55,121.23,0.4,-7.53,0.21,0.2,0.22,0.01
4q3ewBCX7sLwd24euuV69X,Bad Bunny,"latin,reggaeton,trap latino",38127243,97,0.75,0.69,124.53,0.55,-5.58,0.12,0.15,0.23,0.0
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,"canadian pop,pop",51059942,96,0.66,0.57,122.04,0.62,-6.61,0.09,0.15,0.33,0.01
3Nrfpe0tUJi4K4DXYWgMUX,BTS,"k-pop,k-pop boy group",39492334,96,0.63,0.73,122.02,0.49,-5.54,0.12,0.19,0.14,0.02
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,"chicago rap,rap",15253699,96,0.64,0.57,116.91,0.39,-6.05,0.24,0.28,0.26,0.0
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,"latin,reggaeton,reggaeton colombiano,trap latino",30055823,95,0.74,0.73,124.9,0.65,-4.75,0.14,0.19,0.15,0.01
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,"dance pop,pop",10507323,95,0.76,0.69,117.34,0.55,-4.82,0.1,0.17,0.15,0.0
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,"pop,uk pop",85770152,94,0.69,0.58,107.16,0.55,-6.56,0.1,0.16,0.32,0.0
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,43736648,94,0.6,0.53,121.78,0.42,-8.5,0.07,0.13,0.46,0.01
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"canadian contemporary r&b,canadian pop,pop",37146980,94,0.59,0.63,127.23,0.34,-6.79,0.11,0.19,0.19,0.01
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,"lgbtq+ hip hop,pop",6638572,94,0.77,0.57,143.07,0.57,-6.44,0.12,0.17,0.14,0.0
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,"electropop,pop",49817217,93,0.62,0.32,115.43,0.29,-12.72,0.15,0.18,0.66,0.14
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,"puerto rican pop,trap latino",7010834,93,0.77,0.67,126.23,0.67,-4.16,0.13,0.15,0.19,0.0
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"dance pop,pop",69785612,92,0.67,0.6,118.57,0.47,-6.15,0.11,0.18,0.23,0.0
7dGJo4pcD2V6oG8kP0tJRR,Eminem,"detroit hip hop,hip hop,rap",48139187,92,0.73,0.72,121.28,0.51,-5.67,0.27,0.31,0.17,0.0
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,"dance pop,pop,uk pop",28610495,92,0.7,0.71,118.47,0.57,-4.96,0.09,0.17,0.07,0.0
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,"chicago rap,melodic rap",19925548,92,0.68,0.61,134.64,0.45,-6.64,0.17,0.2,0.19,0.0
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,"rap,slap house",18491947,92,0.71,0.63,130.07,0.36,-5.75,0.13,0.2,0.13,0.0
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,pop,8669942,92,0.38,0.43,77.6,0.13,-6.58,0.03,0.09,0.09,0.0
5f7VJjfbwm532GiveGC0ZK,Lil Baby,"atl hip hop,atl trap,rap,trap",8348899,92,0.79,0.57,126.4,0.41,-6.86,0.29,0.17,0.11,0.0
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,australian hip hop,2626999,92,0.63,0.62,116.88,0.43,-6.29,0.12,0.19,0.12,0.0
