track_id,name,artist_id,artist_name,genres,popularity,explicit,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,collabs
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"canadian contemporary r&b,canadian pop,pop",91,FALSE,200040,0.514,0.73,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,0
02MWAaffLxlfxAUY7c5dvx,Heat Waves,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,"gauze pop,indietronica,shiver pop",90,FALSE,238805,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,0
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,"modern alternative rock,modern rock,pop",88,FALSE,240400,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,0
3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),"6fWVd57NKTalqvmjRd2t8Z,6ASri4ePR7RlsvIQgWPJpS","24kGoldn,iann dior","cali rap,melodic rap,pop rap",88,TRUE,140533,0.7,0.722,-3.558,0.0369,0.221,0.0,0.272,0.756,90.989,1
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,6KImCVD70vtIoJWnq6nGn3,Harry Styles,pop,88,FALSE,174000,0.548,0.816,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39,0
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),"6M2wZ9GZgrQXHCFfjv46we,4r63FhuTkUYltbVAg5TQnk","Dua Lipa,DaBaby","dance pop,pop,uk pop,north carolina hip hop,rap",87,FALSE,203064,0.702,0.825,-3.787,0.0601,0.00883,0.0,0.0674,0.915,102.977,1
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),"6qqNVTkY8uBg9cP3Jd7DAH,6LuN9FCkKOj5PcnpouEgny","Billie Eilish,Khalid","electropop,pop,pop,pop r&b",87,FALSE,200185,0.351,0.296,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284,1
0v1x6rN6JHRapa03JElljE,Dynamite,3Nrfpe0tUJi4K4DXYWgMUX,BTS,"k-pop,k-pop boy group",87,FALSE,199053,0.746,0.765,-4.41,0.0993,0.0112,0.0,0.0936,0.737,114.044,0
5QO79kh1waicV47BqGRL3g,Save Your Tears,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"canadian contemporary r&b,canadian pop,pop",87,TRUE,215626,0.68,0.826,-5.487,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,0
6f3Slt0GbA2bPZlz0aIFXN,The Business,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,"big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house",87,FALSE,164000,0.798,0.62,-7.079,0.232,0.414,0.0192,0.112,0.235,120.031,0
7igeByaBM0MgGsgXtNxDJ7,positions,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"dance pop,pop",86,TRUE,172324,0.736,0.802,-4.759,0.0864,0.468,0.0,0.094,0.675,144.005,0
4xqrdfXkTW4T0RauPLv3WA,Heather,4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,"bedroom pop,electropop,indie pop,pop",86,FALSE,198040,0.357,0.425,-7.301,0.0333,0.584,0.0,0.322,0.27,102.078,0
0pqnGHJpmpxLKifKRmU6WP,Believer,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,"modern rock,pop,rock",86,FALSE,204346,0.776,0.78,-4.374,0.128,0.0622,0.0,0.081,0.666,124.949,0
45bE4HXI0AwGZXfZtMp8JR,you broke me first,45dkTj5sMRSjrmBSBeiHym,Tate McRae,"alt z,dance pop,pop,post-teen pop",86,FALSE,169265,0.667,0.373,-9.389,0.05,0.785,0.0,0.0906,0.0823,124.148,0
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,"modern alternative rock,modern rock,pop",86,FALSE,260173,0.588,0.521,-9.461,0.0329,0.0678,0.149,0.123,0.337,85.012,0
4VginDwYTP2eaHJzO0QMjG,Circles,246dkjvS1zLTtiykXe5h60,Post Malone,"dfw rap,melodic rap,rap",86,FALSE,215280,0.704,0.758,-3.537,0.0402,0.233,0.00144,0.0924,0.534,120.003,0
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,"pop,uk pop",86,FALSE,182160,0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,0
0tgVpDi06FyKpA1z0VMD4v,Perfect,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,"pop,uk pop",86,FALSE,263400,0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,0
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,australian hip hop,86,TRUE,161384,0.662,0.413,-7.357,0.0299,0.213,0.0,0.134,0.467,93.005,0
6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK),"6DgP9otnZw5z6daOntINxp,7uMh23xWiuR7zsNkuNcm2G","Joel Corry,MNEK","dance pop,pop,pop dance,tropical house,uk dance,tropical house,uk contemporary r&b,uk dance",85,FALSE,166028,0.734,0.874,-3.158,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,1
6gBFPUFcJLzWGx4lenP6h2,goosebumps,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,"rap,slap house",85,TRUE,243836,0.841,0.728,-3.37,0.0484,0.0847,0.0,0.149,0.43,130.049,0
