track_id,track_name,all_streams,all_daily_chart_presences,all_avg_rank,all_chart_points,all_top_chart_rank,2017_streams,2017_daily_chart_presences,2017_avg_rank,2017_chart_points,2017_top_chart_rank,2017_1_streams,2017_1_daily_chart_presences,2017_1_avg_rank,2017_1_chart_points,2017_1_top_chart_rank,2017_2_streams,2017_2_daily_chart_presences,2017_2_avg_rank,2017_2_chart_points,2017_2_top_chart_rank,2017_3_streams,2017_3_daily_chart_presences,2017_3_avg_rank,2017_3_chart_points,2017_3_top_chart_rank,2017_4_streams,2017_4_daily_chart_presences,2017_4_avg_rank,2017_4_chart_points,2017_4_top_chart_rank,2017_5_streams,2017_5_daily_chart_presences,2017_5_avg_rank,2017_5_chart_points,2017_5_top_chart_rank,2017_6_streams,2017_6_daily_chart_presences,2017_6_avg_rank,2017_6_chart_points,2017_6_top_chart_rank,2017_7_streams,2017_7_daily_chart_presences,2017_7_avg_rank,2017_7_chart_points,2017_7_top_chart_rank,2017_8_streams,2017_8_daily_chart_presences,2017_8_avg_rank,2017_8_chart_points,2017_8_top_chart_rank,2017_9_streams,2017_9_daily_chart_presences,2017_9_avg_rank,2017_9_chart_points,2017_9_top_chart_rank,2017_10_streams,2017_10_daily_chart_presences,2017_10_avg_rank,2017_10_chart_points,2017_10_top_chart_rank,2017_11_streams,2017_11_daily_chart_presences,2017_11_avg_rank,2017_11_chart_points,2017_11_top_chart_rank,2017_12_streams,2017_12_daily_chart_presences,2017_12_avg_rank,2017_12_chart_points,2017_12_top_chart_rank,2018_streams,2018_daily_chart_presences,2018_avg_rank,2018_chart_points,2018_top_chart_rank,2018_1_streams,2018_1_daily_chart_presences,2018_1_avg_rank,2018_1_chart_points,2018_1_top_chart_rank,2018_2_streams,2018_2_daily_chart_presences,2018_2_avg_rank,2018_2_chart_points,2018_2_top_chart_rank,2018_3_streams,2018_3_daily_chart_presences,2018_3_avg_rank,2018_3_chart_points,2018_3_top_chart_rank,2018_4_streams,2018_4_daily_chart_presences,2018_4_avg_rank,2018_4_chart_points,2018_4_top_chart_rank,2018_5_streams,2018_5_daily_chart_presences,2018_5_avg_rank,2018_5_chart_points,2018_5_top_chart_rank,2018_6_streams,2018_6_daily_chart_presences,2018_6_avg_rank,2018_6_chart_points,2018_6_top_chart_rank,2018_7_streams,2018_7_daily_chart_presences,2018_7_avg_rank,2018_7_chart_points,2018_7_top_chart_rank,2018_8_streams,2018_8_daily_chart_presences,2018_8_avg_rank,2018_8_chart_points,2018_8_top_chart_rank,2018_9_streams,2018_9_daily_chart_presences,2018_9_avg_rank,2018_9_chart_points,2018_9_top_chart_rank,2018_10_streams,2018_10_daily_chart_presences,2018_10_avg_rank,2018_10_chart_points,2018_10_top_chart_rank,2018_11_streams,2018_11_daily_chart_presences,2018_11_avg_rank,2018_11_chart_points,2018_11_top_chart_rank,2018_12_streams,2018_12_daily_chart_presences,2018_12_avg_rank,2018_12_chart_points,2018_12_top_chart_rank,2019_streams,2019_daily_chart_presences,2019_avg_rank,2019_chart_points,2019_top_chart_rank,2019_1_streams,2019_1_daily_chart_presences,2019_1_avg_rank,2019_1_chart_points,2019_1_top_chart_rank,2019_2_streams,2019_2_daily_chart_presences,2019_2_avg_rank,2019_2_chart_points,2019_2_top_chart_rank,2019_3_streams,2019_3_daily_chart_presences,2019_3_avg_rank,2019_3_chart_points,2019_3_top_chart_rank,2019_4_streams,2019_4_daily_chart_presences,2019_4_avg_rank,2019_4_chart_points,2019_4_top_chart_rank,2019_5_streams,2019_5_daily_chart_presences,2019_5_avg_rank,2019_5_chart_points,2019_5_top_chart_rank,2019_6_streams,2019_6_daily_chart_presences,2019_6_avg_rank,2019_6_chart_points,2019_6_top_chart_rank,2019_7_streams,2019_7_daily_chart_presences,2019_7_avg_rank,2019_7_chart_points,2019_7_top_chart_rank,2019_8_streams,2019_8_daily_chart_presences,2019_8_avg_rank,2019_8_chart_points,2019_8_top_chart_rank,2019_9_streams,2019_9_daily_chart_presences,2019_9_avg_rank,2019_9_chart_points,2019_9_top_chart_rank,2019_10_streams,2019_10_daily_chart_presences,2019_10_avg_rank,2019_10_chart_points,2019_10_top_chart_rank,2019_11_streams,2019_11_daily_chart_presences,2019_11_avg_rank,2019_11_chart_points,2019_11_top_chart_rank,2019_12_streams,2019_12_daily_chart_presences,2019_12_avg_rank,2019_12_chart_points,2019_12_top_chart_rank,2020_streams,2020_daily_chart_presences,2020_avg_rank,2020_chart_points,2020_top_chart_rank,2020_1_streams,2020_1_daily_chart_presences,2020_1_avg_rank,2020_1_chart_points,2020_1_top_chart_rank,2020_2_streams,2020_2_daily_chart_presences,2020_2_avg_rank,2020_2_chart_points,2020_2_top_chart_rank,2020_3_streams,2020_3_daily_chart_presences,2020_3_avg_rank,2020_3_chart_points,2020_3_top_chart_rank,2020_4_streams,2020_4_daily_chart_presences,2020_4_avg_rank,2020_4_chart_points,2020_4_top_chart_rank,2020_5_streams,2020_5_daily_chart_presences,2020_5_avg_rank,2020_5_chart_points,2020_5_top_chart_rank,2020_6_streams,2020_6_daily_chart_presences,2020_6_avg_rank,2020_6_chart_points,2020_6_top_chart_rank,2020_7_streams,2020_7_daily_chart_presences,2020_7_avg_rank,2020_7_chart_points,2020_7_top_chart_rank,2020_8_streams,2020_8_daily_chart_presences,2020_8_avg_rank,2020_8_chart_points,2020_8_top_chart_rank,2020_9_streams,2020_9_daily_chart_presences,2020_9_avg_rank,2020_9_chart_points,2020_9_top_chart_rank,2020_10_streams,2020_10_daily_chart_presences,2020_10_avg_rank,2020_10_chart_points,2020_10_top_chart_rank,2020_11_streams,2020_11_daily_chart_presences,2020_11_avg_rank,2020_11_chart_points,2020_11_top_chart_rank,2020_12_streams,2020_12_daily_chart_presences,2020_12_avg_rank,2020_12_chart_points,2020_12_top_chart_rank
7qiZfU4dY1lWllzX7mPBI3,Shape of You,2603204890,1430,72,184470,1,1479857019,356,8,68708,1,183196416,26,1,5200,1,200107746,27,1,5400,1,239248067,31,1,6200,1,170178172,30,2,5970,1,134706207,29,3,5742,3,109742306,29,4,5713,3,99619812,31,7,6014,5,83557944,31,9,5952,8,69177393,30,16,5550,10,64114594,31,18,5673,14,58205668,30,17,5520,14,68002694,31,17,5704,4,488523973,365,55,53290,5,65102037,31,15,5766,5,49337468,28,28,4844,17,47889830,31,36,5115,32,41893767,30,47,4620,36,40191463,31,50,4681,41,36210667,30,56,4350,48,39775694,31,53,4588,45,37669715,31,54,4557,47,33687330,30,65,4080,57,33403044,31,73,3968,67,31016770,30,80,3630,69,32346188,31,96,3255,46,353578651,363,93,39204,46,32524034,31,76,3875,46,28549749,28,88,3164,79,30936966,31,87,3534,81,29881802,30,91,3300,79,31842747,31,85,3596,75,31694635,30,78,3690,70,32252225,31,86,3565,75,29603229,31,89,3472,81,26361884,30,105,2880,94,27156421,31,106,2945,93,25567528,30,107,2820,97,27207431,29,117,2436,56,281245247,346,134,23182,60,28667761,31,111,2790,60,25765214,29,120,2349,108,24970044,31,144,1767,130,23589629,30,122,2370,111,24499492,31,124,2387,107,23916184,30,113,2640,107,25276128,31,133,2108,108,24670728,31,138,1953,127,23452426,30,142,1770,129,24450087,31,150,1581,136,22097673,29,166,1015,147,9889881,12,171,360,90
0pqnGHJpmpxLKifKRmU6WP,Believer,1535601360,1422,84,166374,15,502512503,329,42,52311,15,0,0,0,0,0,34637141,26,51,3900,17,65632963,31,26,5425,17,56082697,30,26,5250,20,44914454,29,38,4727,25,50848557,29,35,4814,15,60568203,31,24,5487,20,49886682,31,33,5208,25,40695262,30,45,4680,42,37401160,31,52,4619,43,30273170,30,63,4140,58,31572214,31,71,4030,54,356477023,365,82,43435,60,31155350,31,71,4030,60,27167488,28,76,3500,69,30617296,31,73,3968,66,29144115,30,84,3510,69,28770528,31,84,3627,75,28122151,30,83,3540,74,29651381,31,80,3751,67,30327487,31,76,3875,62,29708735,30,79,3660,73,31034958,31,81,3720,75,30233662,30,85,3480,75,30543872,31,106,2945,79,343080186,364,97,37856,75,30161481,31,88,3503,80,26142542,28,106,2660,93,28736287,31,100,3131,91,27407636,30,105,2880,98,28133244,31,104,3007,99,29626370,30,90,3330,81,29685276,31,98,3193,90,29086501,31,92,3379,82,27661554,30,94,3210,79,29865878,31,89,3472,75,27630755,30,90,3330,77,28942662,30,110,2730,91,333531648,364,110,33124,84,29468377,31,105,2976,90,27620867,29,103,2842,90,28637556,31,114,2697,96,26454800,30,95,3180,89,26821351,31,104,3007,92,26523237,30,92,3270,84,28694586,31,113,2728,91,28313502,31,110,2821,104,27733796,30,105,2880,94,28969648,31,111,2790,104,27499526,30,122,2370,108,26794402,29,153,1392,110
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),2027040402,1172,70,153532,1,594549415,108,1,21600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91576381,16,2,3184,1,196193022,31,1,6200,1,163355331,30,1,6000,1,143424681,31,1,6200,1,752016823,365,31,62050,1,119665042,31,2,6169,1,87389312,28,5,5488,2,79178460,31,13,5828,7,70656676,30,20,5430,7,79698473,31,13,5828,8,57316520,30,28,5190,17,50412638,31,37,5084,33,46158273,31,40,4991,34,40418689,30,51,4500,46,42608970,31,48,4743,38,37762677,30,54,4410,39,40751093,31,61,4340,29,395449434,363,78,44649,25,44401927,31,42,4929,25,36428951,28,61,3920,50,38015582,31,63,4278,54,34759485,30,72,3870,66,33466218,31,77,3844,70,31874891,30,76,3750,65,31966389,31,86,3565,76,30941320,31,81,3720,73,30476985,30,76,3750,64,28958569,31,95,3286,79,26146161,30,101,3000,93,28012956,29,108,2697,80,285024730,336,125,25536,64,29561859,31,105,2976,64,26936799,29,109,2668,97,30388351,31,103,3038,83,26081292,30,98,3090,93,26534609,31,106,2945,95,25789311,30,97,3120,87,26113320,31,126,2325,97,24619898,31,139,1922,131,23234180,30,145,1680,123,23325386,31,163,1178,144,18699515,26,180,546,171,3740210,5,180,105,159
0tgVpDi06FyKpA1z0VMD4v,Perfect,1542220196,1384,98,142552,3,498024926,301,55,43946,3,0,0,0,0,0,0,0,0,0,0,72375686,29,20,5249,6,38922780,30,52,4470,29,26514550,29,78,3567,67,21544310,29,98,2987,86,21494041,31,101,3100,93,21695165,31,102,3069,91,31370472,30,76,3750,22,82438027,31,9,5952,6,96383364,30,6,5850,3,85286531,31,8,5983,5,454639958,363,69,47916,6,75665877,31,11,5890,6,57156349,28,20,5068,13,51137215,31,31,5270,25,39119228,30,54,4410,36,33339513,31,66,4185,59,29636888,30,77,3720,67,29184760,31,83,3658,75,27815626,31,89,3472,79,27613305,30,89,3360,71,30124900,31,85,3596,77,27220188,30,104,2910,88,26626109,29,116,2465,88,310304897,363,119,29766,54,28727380,31,96,3255,86,26933835,28,102,2772,54,27977566,31,104,3007,96,25965352,30,117,2520,105,27675728,31,108,2883,94,26297276,30,109,2760,100,27120406,31,114,2697,104,24560049,31,130,2201,115,23749885,30,133,2040,116,24789914,31,126,2325,113,23518878,30,129,2160,115,22988628,29,160,1189,132,279250415,357,144,20349,109,24307851,31,150,1581,132,23604732,29,140,1769,109,23048786,31,164,1147,148,22298014,30,137,1920,123,23268135,31,137,1984,124,22924085,30,123,2340,116,23857497,31,146,1705,120,23988786,31,145,1736,134,23677261,30,139,1860,130,25236742,31,140,1891,127,24527880,30,148,1590,128,18510646,22,169,704,133
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,1696731117,805,37,132020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234523230,75,9,14400,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44500222,14,19,2548,4,89874074,30,7,5820,4,100148934,31,8,5983,2,986906846,365,15,67890,1,140210531,31,2,6169,1,102031689,28,6,5460,3,103788446,31,6,6045,4,91677982,30,8,5790,7,85537615,31,10,5921,7,72126165,30,14,5610,10,73759353,31,16,5735,11,65725638,31,21,5580,16,79598628,30,14,5610,8,62323012,31,21,5580,13,50797958,30,29,5160,26,59329829,31,35,5146,18,475301041,365,64,50005,18,54174274,31,38,5053,18,45866164,29,46,4495,34,43175619,31,59,4402,48,37206181,30,55,4380,51,39644118,31,57,4464,51,39172252,30,55,4380,51,38618321,31,69,4092,51,37308315,31,66,4185,60,34329907,30,71,3900,64,33945182,31,83,3658,75,35432784,30,80,3630,57,36427924,30,96,3150,71
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),1194027039,983,67,131722,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307945723,254,66,34290,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6537840,9,145,504,109,35578998,31,68,4123,31,54268077,30,31,5100,19,42017583,31,48,4743,41,31716004,31,72,3999,49,28117768,30,87,3420,73,31106629,31,81,3720,59,39279949,30,54,4410,35,39322875,31,66,4185,39,460658307,365,59,51830,34,41131503,31,49,4712,38,38505037,28,57,4032,40,40565771,31,57,4464,48,47005121,30,41,4800,35,45788562,31,46,4805,34,39109305,30,55,4380,49,37761361,31,62,4309,55,34797015,31,63,4278,54,33739606,30,64,4110,52,33523922,31,70,4061,57,31994956,30,68,3990,56,36736148,31,80,3751,57,425423009,364,76,45500,43,38896216,31,68,4123,44,39295307,29,60,4089,52,40428197,31,64,4247,48,39100718,30,51,4500,43,36141705,31,66,4185,53,32912693,30,71,3900,63,32457659,31,96,3255,72,31896862,31,89,3472,81,30658716,30,87,3420,78,32537292,31,90,3441,74,36627642,30,74,3810,56,34470002,29,97,3016,70
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,1451457844,962,66,129870,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603735432,233,18,42639,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27950956,19,58,2717,13,100144401,30,8,5790,2,110998852,31,6,6045,4,98316913,31,7,6014,5,81314640,30,11,5700,9,71815962,31,14,5797,9,58688647,30,21,5400,16,54505061,31,33,5208,22,413902280,365,90,40515,2,48143042,31,36,5115,21,38385454,28,56,4060,44,38931674,31,61,4340,47,32067570,30,82,3570,72,31566938,31,87,3534,76,28414172,30,97,3120,87,26101253,31,120,2511,106,24933029,31,125,2356,106,24372812,30,125,2280,108,25580428,31,121,2480,99,24280859,30,120,2430,102,71125049,31,49,4712,2,433820132,364,72,46956,30,47236071,31,49,4712,30,37043292,29,66,3915,53,35694378,31,80,3751,60,33113078,30,66,4050,58,33994451,31,71,4030,63,33248239,30,69,3960,60,37714254,31,72,3999,59,36990402,31,67,4154,59,35233211,30,66,4050,61,35601652,31,75,3906,63,33644137,30,87,3420,72,34306967,29,97,3016,65
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,1328197327,1444,114,125628,7,479694917,361,58,51623,7,80383176,31,8,5983,7,67603056,27,10,5157,7,61676924,31,29,5332,15,43328236,30,42,4770,31,35363600,29,54,4263,46,29372493,29,63,4002,54,28637572,31,70,4061,62,27540289,31,74,3937,66,26337713,30,77,3720,70,26848206,31,81,3720,73,25914818,30,84,3510,72,26688834,31,99,3162,72,270245085,361,127,26714,58,27262673,31,91,3410,73,24254569,28,94,2996,58,24994394,31,102,3069,89,22496840,30,122,2370,100,22947456,31,128,2263,116,20597642,30,136,1950,116,20315788,31,144,1767,129,20663297,31,142,1829,121,21036084,30,136,1950,121,22777138,31,136,2015,121,22635873,30,137,1920,123,20263331,27,158,1161,122,281985613,361,137,23104,102,25166295,31,126,2325,112,22800092,28,136,1820,104,23888874,31,141,1860,123,22102954,30,151,1500,135,23506353,31,143,1798,127,22301629,30,144,1710,124,22899311,31,150,1581,131,23477842,31,141,1860,121,24061655,30,128,2190,108,25478381,31,121,2480,105,24385806,30,118,2490,102,21916421,27,150,1377,121,296271712,361,134,24187,102,25263867,31,140,1891,125,24840803,29,128,2117,106,25018632,31,143,1798,126,23110415,30,128,2190,113,23486690,31,135,2046,120,23101921,30,121,2400,108,24029599,31,144,1767,113,23888288,31,145,1736,122,24781442,30,127,2220,113,27843403,31,119,2542,102,27531305,30,123,2340,105,23375347,26,157,1144,123
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,1611086683,723,29,124356,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823780323,357,32,60333,4,18449643,23,139,1426,66,33065349,28,70,3668,60,40531297,31,57,4464,42,40795420,30,54,4410,44,68952275,31,20,5611,8,76171246,30,12,5670,6,76864536,31,14,5797,10,83735694,31,13,5828,9,91145767,30,10,5730,4,103401307,31,7,6014,4,98081485,30,8,5790,7,92586304,31,15,5766,5,787306360,366,27,63684,12,87048943,31,16,5735,12,81523688,29,16,5365,14,78803694,31,20,5611,15,68203882,30,20,5430,17,64911806,31,23,5518,20,61513330,30,22,5370,19,61086137,31,31,5270,21,58201844,31,30,5301,26,56995023,30,28,5190,25,59663816,31,29,5332,22,54972616,30,33,5040,23,54381581,31,51,4650,30
2VxeLyX666F8uXCJ0dZF8B,Shallow,1322303071,824,58,117832,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234002508,95,19,17290,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3373266,3,83,354,54,81776264,31,20,5611,5,85940988,30,8,5790,5,62911990,31,23,5518,12,714097238,365,34,60955,2,72767847,31,15,5766,10,86965579,28,13,5264,2,111741731,31,5,6076,2,76520380,30,12,5670,11,66854518,31,17,5704,13,54015576,30,28,5190,21,47303187,31,43,4898,37,43636196,31,45,4836,37,39132631,30,52,4470,44,40524141,31,52,4619,46,35493226,30,56,4350,48,39142226,31,74,3937,40,374203325,364,93,39312,56,36657484,31,73,3968,56,34053210,29,73,3712,64,33336666,31,89,3472,79,28861830,30,82,3570,71,30423599,31,84,3627,71,30172555,30,80,3630,74,30781736,31,103,3038,79,29798210,31,100,3131,91,30143065,30,89,3360,82,31943092,31,94,3317,86,29612030,30,109,2760,98,28419848,29,137,1856,108
