track_id,times_in_daily_chart,top_peak_pos,avg_chart_pos,total_streams,January_streams,February_streams,March_streams,April_streams,May_streams,June_streams,July_streams,August_streams,September_streams,October_streams,November_streams,December_streams,popularity,explicit,name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7k4t7uLgtOxPwTpFmtJNTY,366,1.0,25.0,64214581.0,16310188.0,12964584.0,8209711.0,4833714.0,3943361.0,3029261.0,2661869.0,2587126.0,2310155.0,2183308.0,2140055.0,3041249.0,79,False,Tusa,"KAROL G, Nicki Minaj","790FomKkXshlbRYZFtlgla, 0hCNtLu0JehylgoiP8L4Gh",0.803,0.715,2.0,-3.28,1.0,0.298,0.295,0.000134,0.0574,0.574,101.085,200960.0,4.0
1yoMvmasuxZfqHEipJhRbp,133,1.0,3.0,52023594.0,,,,,,,,5907841.0,16086371.0,11992988.0,9403870.0,8632524.0,79,False,HawÃ¡i,Maluma,1r4hJ1h58CWwUQe3MxPuau,0.783,0.727,6.0,-3.454,0.0,0.389,0.185,2.46e-05,0.0626,0.558,180.067,199112.0,4.0
5stPVcRqb4qixbafP9e8lt,366,2.0,33.0,44966936.0,9093070.0,7755668.0,5762805.0,3876368.0,3581076.0,3009429.0,2475894.0,2421935.0,1811017.0,1791005.0,1618767.0,1769902.0,76,False,Hola - Remix,"Dalex, Lenny TavÃ¡rez, Chencho Corleone, Juhn, DÃ­melo Flow","0KPX4Ucy9dk82uj4GpKesn, 1pQWsZQehhS4wavwh7Fnxd, 37230BxxYs9ksS7OkZw3IU, 2LmcxBak1alK1bf7d1beTr, 3fZk3Gm5dN5v5yfYMQ04Bx",0.654,0.672,0.0,-5.98,0.0,0.311,0.471,0.0,0.0781,0.343,181.857,249520.0,4.0
4HYDUMY0xSpeBr0AMY9cUz,196,2.0,15.0,41701773.0,,,,,,493568.0,5702415.0,8425263.0,7915233.0,7363329.0,6140039.0,5661926.0,84,False,La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers","2cPqdH7XMvwaBJEVjheH8g, 2ydZrTy8U3kOMOzx20s3dg, 7iK8PXO48WeuP03g8YR51W",0.845,0.677,11.0,-4.798,0.0,0.136,0.269,0.000917,0.108,0.68,90.013,219048.0,4.0
1rgnBhdG2JDFTbYkYRZAku,366,2.0,46.0,38342440.0,8342793.0,7303925.0,5259137.0,3378774.0,2849822.0,2138218.0,1879918.0,1617599.0,1376731.0,1423920.0,1274727.0,1496876.0,77,False,Dance Monkey,Tones And I,2NjfBq1NflQcKSeiDooVjY,0.826,0.593,6.0,-6.401,0.0,0.0976,0.688,0.000161,0.17,0.541,98.083,209755.0,4.0
4pXW6ZAHBz7ODXTRKklWrM,147,1.0,12.0,37088309.0,,,,,,,3604291.0,11647067.0,8626670.0,6209885.0,4538074.0,2462322.0,74,False,Mamichula - con Nicki Nicole,"Trueno, Nicki Nicole, Bizarrap, Taiu, TATOOL","2x7PC78TmgqpEIjaGAZ0Oz, 2UZIAOlrnyZmyzt1nuXr9y, 716NhGYqD1jl2wI1Qkgq36, 5szJHKg5xeUlQ9pTqzdpic, 0shHIQr8VamXbzM66kwGQo",0.696,0.678,4.0,-5.893,0.0,0.0735,0.582,2.22e-06,0.134,0.346,91.985,219202.0,4.0
7sQKy5vlPQllr0k9IjYJv3,366,3.0,51.0,36476276.0,6547382.0,6919446.0,5593849.0,3583583.0,2959170.0,2437332.0,1876200.0,1570958.0,1321059.0,1312996.0,1119320.0,1234981.0,74,False,Sigues Con El,"DÃ­melo Flow, Arcangel, Sech","3fZk3Gm5dN5v5yfYMQ04Bx, 4SsVbpTthjScTS7U2hmr1X, 77ziqFxp5gaInVrF2lj4ht",0.883,0.668,9.0,-2.957,1.0,0.113,0.11,0.000529,0.0734,0.676,87.972,226533.0,4.0
3GtnId3Cm1Xa6joCj08nzW,140,2.0,12.0,35286306.0,,,,,,,,1684978.0,8005273.0,9554780.0,8442016.0,7599259.0,73,True,Jeans,Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,0.807,0.656,3.0,-4.395,0.0,0.105,0.0165,0.0,0.0693,0.89,83.943,185840.0,4.0
0jT8Nl0shPS8115is0wD2Q,259,1.0,21.0,34865059.0,,,,3461676.0,5933152.0,4532979.0,4252797.0,4047647.0,3823603.0,3423977.0,2734677.0,2654551.0,68,False,Favorito,Camilo,28gNT5KBp7IjEOQoevXf9N,0.606,0.853,9.0,-2.975,1.0,0.0545,0.237,0.0,0.251,0.822,178.043,209766.0,4.0
6mAN61JH0dzyZpWslS11jy,366,4.0,60.0,32683183.0,7487351.0,5903199.0,3937231.0,2880648.0,2712715.0,2011375.0,1655474.0,1492934.0,1252482.0,1144569.0,1057982.0,1147223.0,75,False,Fantasias,"Rauw Alejandro, Farruko","1mcTU81TzQhprhouKaTkpq, 329e4yvIujISKGKz1BZZbO",0.879,0.703,1.0,-4.219,1.0,0.0701,0.143,0.0,0.0569,0.788,94.004,199711.0,4.0
50ZC4PM7hywH27RcCfViau,280,3.0,30.0,32611511.0,,,256931.0,3255040.0,4334120.0,4989009.0,5004302.0,4711184.0,3791773.0,3028578.0,1757702.0,1482872.0,74,False,ElegÃ­ (feat. DÃ­melo Flow),"Rauw Alejandro, Dalex, Lenny TavÃ¡rez, DÃ­melo Flow","1mcTU81TzQhprhouKaTkpq, 0KPX4Ucy9dk82uj4GpKesn, 1pQWsZQehhS4wavwh7Fnxd, 3fZk3Gm5dN5v5yfYMQ04Bx",0.824,0.631,0.0,-2.791,1.0,0.0809,0.237,0.000116,0.0531,0.678,171.965,197721.0,4.0
7x4ASXYEKfQBCewcZhK776,175,6.0,20.0,32514475.0,,,,,,,1159013.0,5634715.0,7749238.0,6916303.0,5603008.0,5452198.0,75,False,"Ay, DiOs MÃ­o!",KAROL G,790FomKkXshlbRYZFtlgla,0.718,0.712,11.0,-4.366,1.0,0.174,0.512,0.00121,0.104,0.531,180.034,189653.0,4.0
4ZRrLHqzhGRXYj2qcB4s5S,126,2.0,6.0,32049351.0,,,,,,,5157316.0,8645319.0,8164536.0,7432949.0,2649231.0,,76,False,Tattoo - Remix with Camilo,"Rauw Alejandro, Camilo","1mcTU81TzQhprhouKaTkpq, 28gNT5KBp7IjEOQoevXf9N",0.848,0.637,9.0,-5.132,1.0,0.156,0.0413,0.0,0.0521,0.698,96.988,222680.0,4.0
380HmhwTE2NJgawn1NwkXi,287,4.0,29.0,31764734.0,,,1868302.0,4054018.0,4541861.0,4121829.0,3819644.0,3554022.0,3125059.0,3176182.0,1973814.0,1530003.0,69,False,Rojo,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,0.663,0.598,11.0,-4.042,1.0,0.17,0.193,8.02e-05,0.0856,0.4,172.245,150720.0,4.0
35UUpTmrcFXNIVIN26ujXl,119,3.0,8.0,31324326.0,,,,,,,,,7238491.0,9226676.0,7897516.0,6961643.0,79,False,RelaciÃ³n - Remix,"Sech, Daddy Yankee, J Balvin, ROSALÃA, Farruko","77ziqFxp5gaInVrF2lj4ht, 4VMYDCV2IEDYJArk749S6m, 1vyhD5VmyZ7KMfW5gqLgo5, 7ltDVBr6mKbRvohxheJ9h1, 329e4yvIujISKGKz1BZZbO",0.793,0.771,5.0,-3.417,1.0,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,247308.0,4.0
3ZG8N7aWw2meb6UrI5ZmnZ,225,2.0,33.0,30655019.0,,,,,1245044.0,5423767.0,6971637.0,6885003.0,4266745.0,2591390.0,1719088.0,1552345.0,73,False,RelaciÃ³n,Sech,77ziqFxp5gaInVrF2lj4ht,0.805,0.562,7.0,-3.117,0.0,0.105,0.125,4.96e-06,0.148,0.767,172.094,184255.0,4.0
0SqqAgdovOE24BzxIClpjw,307,2.0,51.0,29749719.0,,62292.0,2336178.0,5763374.0,5407188.0,4232487.0,3448730.0,2808554.0,1986008.0,1311564.0,1156986.0,1236358.0,77,False,Yo Perreo Sola,Bad Bunny,4q3ewBCX7sLwd24euuV69X,0.86,0.758,11.0,-5.16,1.0,0.0695,0.021,6.54e-05,0.344,0.453,97.014,172127.0,4.0
4TOmcZvw0gHa7GiXRbcYAW,252,2.0,38.0,29307154.0,,,,1185858.0,5501972.0,5308492.0,4742457.0,4163871.0,3401202.0,2279684.0,1354860.0,1368758.0,65,False,PORFA,"Feid, Justin Quiles","2LRoIwlKmHjgvigdNGBHNo, 14zUHaJZo1mnYtn6IBRaRP",0.795,0.542,6.0,-8.106,0.0,0.193,0.0903,0.0,0.117,0.55,167.823,232653.0,4.0
15OjBeqNX3bShsGYQbteRv,156,5.0,28.0,29143194.0,,,,,,,95447.0,1515602.0,4556529.0,7851323.0,7546473.0,7577820.0,77,False,La TÃ³xica,Farruko,329e4yvIujISKGKz1BZZbO,0.659,0.701,9.0,-4.107,1.0,0.164,0.0882,0.0,0.0866,0.623,91.97,180520.0,4.0
