track_id,times_in_daily_chart,top_peak_pos,avg_chart_pos,total_streams,January_streams,February_streams,March_streams,April_streams,May_streams,June_streams,July_streams,August_streams,September_streams,October_streams,November_streams,December_streams,popularity,explicit,name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0nbXyq5TXYPCO7pr3N8S4I,365,1.0,24.0,400892436.0,93755490.0,72265595.0,55449203.0,38885200.0,30457935.0,24209922.0,19990193.0,16065623.0,13294289.0,12410050.0,10815487.0,13293449.0,83,True,The Box,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,196653.0,4.0
7ytR5pFWmSjzHJIeQkgog4,259,1.0,13.0,268822544.0,,,,17833254.0,49170538.0,44357713.0,43521162.0,34538909.0,26077630.0,20777520.0,16195481.0,16350337.0,84,True,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch","4r63FhuTkUYltbVAg5TQnk, 757aE44tKEUQEqRuT6GnEB",0.746,0.69,11.0,-7.956,1.0,0.164,0.247,0.0,0.101,0.497,89.977,181733.0,4.0
22LAwLoDA5b4AaGSkg6bKW,315,2.0,20.0,260198449.0,,10191865.0,35791647.0,39681804.0,34468580.0,28964842.0,27730079.0,22634064.0,17904956.0,16032003.0,12921899.0,13876710.0,78,True,Blueberry Faygo,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,0.774,0.554,0.0,-7.909,1.0,0.0383,0.207,0.0,0.132,0.349,99.034,162547.0,4.0
0VjIjW4GlUZAMYd2vXMi3b,286,1.0,14.0,247788113.0,,,18125867.0,39322648.0,34186047.0,28767267.0,26861405.0,24309001.0,20941046.0,19945196.0,16754809.0,18574827.0,91,False,Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,4.0
21jGcNKet2qwijlDFuPiPb,365,3.0,34.0,219423327.0,33330941.0,26586053.0,24187583.0,20319646.0,19941495.0,16851819.0,15474618.0,14462480.0,13246921.0,12765727.0,10858242.0,11397802.0,86,False,Circles,Post Malone,246dkjvS1zLTtiykXe5h60,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280.0,4.0
696DnlkuDOXcMAnKlTgXXK,363,2.0,62.0,202582156.0,40218371.0,31212988.0,25650120.0,18674654.0,17255448.0,14383794.0,11735915.0,10498324.0,9020716.0,8516426.0,7678799.0,7736601.0,81,True,ROXANNE,Arizona Zervas,0vRvGUQVUjytro0xpb26bs,0.621,0.601,6.0,-5.616,0.0,0.148,0.0522,0.0,0.46,0.457,116.735,163636.0,5.0
4Oun2ylbjFKMPTiaSbbCih,147,1.0,10.0,200800495.0,,,,,,,,65529628.0,56650826.0,35284738.0,23707768.0,19627535.0,83,True,WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion","4kYSro6naA4h99UJvo89HB, 181bsRPaVXVlUKXrxwZfHK",0.935,0.454,1.0,-7.509,1.0,0.375,0.0194,0.0,0.0824,0.357,133.073,187541.0,4.0
6UelLqGlWMcVH1E5c4H7lY,365,3.0,50.0,200626866.0,18623328.0,10900335.0,9795697.0,8246324.0,12724649.0,24191668.0,27503145.0,25811458.0,20569592.0,17147586.0,13534755.0,11578329.0,88,False,Watermelon Sugar,Harry Styles,6KImCVD70vtIoJWnq6nGn3,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,4.0
3jjujdWJ72nww5eGnfs2E7,364,10.0,54.0,175384087.0,22870230.0,20019047.0,20569604.0,17475158.0,16533341.0,14018221.0,12952169.0,12618408.0,10662194.0,10158121.0,8696498.0,8811096.0,83,False,Adore You,Harry Styles,6KImCVD70vtIoJWnq6nGn3,0.676,0.771,8.0,-3.675,1.0,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133.0,4.0
0RiRZpuVRbi7oqRdSMwhQY,365,9.0,44.0,173965276.0,19537948.0,16904996.0,15978317.0,14246770.0,15371058.0,15290621.0,14882075.0,14086935.0,12680729.0,12251732.0,11363136.0,11370959.0,79,False,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee","246dkjvS1zLTtiykXe5h60, 1zNqQNIdeOUZHb8zbZRFMX",0.755,0.522,2.0,-4.368,1.0,0.0575,0.533,0.0,0.0685,0.925,89.96,157560.0,4.0
