artist_id,name,genres,popularity,followers,total_streams,daily_chart_times,avg_chart_pos,top_peak_pos
4q3ewBCX7sLwd24euuV69X,Bad Bunny,"latin, reggaeton, trap latino",96,37939849,4504125446.0,3271.0,97.0,1.0
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,"chicago rap, melodic rap",92,19837623,3683431647.0,3136.0,102.0,2.0
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,"latin, reggaeton, reggaeton colombiano, trap latino",94,29974059,3503072170.0,2992.0,115.0,8.0
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,"canadian pop, pop",96,50842137,3050022830.0,1850.0,92.0,1.0
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"canadian contemporary r&b, canadian pop, pop",94,36995561,2924286335.0,1318.0,89.0,1.0
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,"melodic rap, rap, trap",83,6867488,2861126400.0,1437.0,119.0,1.0
3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap, toronto rap",100,57493889,2767093826.0,1845.0,107.0,1.0
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,"dance pop, pop, uk pop",92,28484273,2617671325.0,1338.0,86.0,2.0
4r63FhuTkUYltbVAg5TQnk,DaBaby,"north carolina hip hop, rap",89,8044846,2599533211.0,1463.0,111.0,1.0
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,"electropop, pop",93,49554566,2567696633.0,2017.0,126.0,1.0
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,"rap, slap house",92,18427000,2542519361.0,2107.0,113.0,1.0
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,"dance pop, pop",92,69570414,2378730965.0,1512.0,83.0,1.0
246dkjvS1zLTtiykXe5h60,Post Malone,"dfw rap, melodic rap, rap",90,34275516,2139156122.0,1856.0,128.0,4.0
6KImCVD70vtIoJWnq6nGn3,Harry Styles,pop,86,16901029,1976688397.0,1313.0,88.0,4.0
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,brooklyn drill,89,7574402,1854527988.0,1319.0,113.0,5.0
2R21vXR83lH98kGeO99Y66,Anuel AA,"latin, reggaeton, reggaeton flow, trap boricua, trap latino",88,18923093,1665219703.0,1520.0,124.0,12.0
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,"pop, uk pop",82,8647960,1621972303.0,989.0,104.0,12.0
790FomKkXshlbRYZFtlgla,KAROL G,"latin, reggaeton, reggaeton colombiano, trap latino",88,18772855,1552357966.0,948.0,104.0,2.0
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,"pop, uk pop",94,85563730,1515285852.0,1644.0,132.0,12.0
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,"latin, puerto rican pop, reggaeton, trap latino",89,29774681,1500588516.0,1268.0,113.0,15.0
77ziqFxp5gaInVrF2lj4ht,Sech,"latin, panamanian pop, reggaeton, trap latino",89,9171138,1427573487.0,1142.0,124.0,4.0
7iK8PXO48WeuP03g8YR51W,Myke Towers,trap latino,90,6694486,1424317743.0,1090.0,108.0,12.0
2NjfBq1NflQcKSeiDooVjY,Tones And I,"australian pop, pop",77,2862732,1332149005.0,519.0,116.0,1.0
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,"puerto rican pop, trap latino",92,6927881,1308498938.0,1167.0,127.0,21.0
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,94,43577810,1187762192.0,785.0,85.0,1.0
6LuN9FCkKOj5PcnpouEgny,Khalid,"pop, pop r&b",88,14371484,1178240798.0,1182.0,125.0,25.0
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,"dance pop, pop",95,10338479,1160519398.0,813.0,111.0,4.0
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,"dance pop, pop",86,19295270,1149370053.0,824.0,81.0,1.0
3Nrfpe0tUJi4K4DXYWgMUX,BTS,"k-pop, k-pop boy group",95,39265845,1147838998.0,674.0,97.0,1.0
1r4hJ1h58CWwUQe3MxPuau,Maluma,"latin, reggaeton, reggaeton colombiano",89,27588302,1129661447.0,731.0,111.0,2.0
26VFTg2z8YR0cCuwLzESi2,Halsey,"dance pop, electropop, etherpop, indie poptimism, pop",87,16075548,1113936145.0,1118.0,127.0,3.0
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,"latin, latin hip hop, reggaeton, trap latino",88,24438015,1070543182.0,966.0,126.0,10.0
