track_id,popularity,explicit,name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
1rgnBhdG2JDFTbYkYRZAku,77,False,Dance Monkey,Tones And I,2NjfBq1NflQcKSeiDooVjY,0.826,0.593,6,-6.401,0,0.0976,0.688,0.000161,0.17,0.541,98.083,1rgnBhdG2JDFTbYkYRZAku,209755,4
696DnlkuDOXcMAnKlTgXXK,81,True,ROXANNE,Arizona Zervas,0vRvGUQVUjytro0xpb26bs,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,696DnlkuDOXcMAnKlTgXXK,163636,5
7k4t7uLgtOxPwTpFmtJNTY,79,False,Tusa,"KAROL G, Nicki Minaj","790FomKkXshlbRYZFtlgla, 0hCNtLu0JehylgoiP8L4Gh",0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,7k4t7uLgtOxPwTpFmtJNTY,200960,4
21jGcNKet2qwijlDFuPiPb,86,False,Circles,Post Malone,246dkjvS1zLTtiykXe5h60,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb,215280,4
2b8fOow8UzyDFAE27YhOZM,85,False,Memories,Maroon 5,04gDigrS5kc9YWfZHwBETP,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,2b8fOow8UzyDFAE27YhOZM,189486,4
4TnjEaWOeW0eKTKIEvJyCa,81,False,Falling,Trevor Daniel,7uaIm6Pw7xplS8Dy06V6pT,0.785,0.431,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.085,4TnjEaWOeW0eKTKIEvJyCa,159382,4
6WrI0LAC5M1Rw2MnX2ZvEg,82,False,Don't Start Now,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,6WrI0LAC5M1Rw2MnX2ZvEg,183290,4
6cy3ki60hLwimwIje7tALf,76,True,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin","1yxSLGMDHlW21z4YXirZDS, 1vyhD5VmyZ7KMfW5gqLgo5",0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,6cy3ki60hLwimwIje7tALf,221714,4
6v3KW9xbzN5yKLt9YKDYA2,79,False,Señorita,"Shawn Mendes, Camila Cabello","7n2wHs1TKAczGzO7Dd2rGr, 4nDoRrQiYLoBzwC5BhVJzF",0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,6v3KW9xbzN5yKLt9YKDYA2,190800,4
0sf12qNH5qcw8qpgymFOqD,91,False,Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,0sf12qNH5qcw8qpgymFOqD,201573,4
0nbXyq5TXYPCO7pr3N8S4I,83,True,The Box,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,0nbXyq5TXYPCO7pr3N8S4I,196653,4
2Fxmhks0bxGSBdJ92vM42m,84,False,bad guy,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,2Fxmhks0bxGSBdJ92vM42m,194088,4
3ZCTVFBt2Brf31RLEnCkWJ,81,False,everything i wanted,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,3ZCTVFBt2Brf31RLEnCkWJ,245426,4
7qEHsqek33rTcFNT9PFqLf,86,False,Someone You Loved,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,7qEHsqek33rTcFNT9PFqLf,182161,4
3jjujdWJ72nww5eGnfs2E7,83,False,Adore You,Harry Styles,6KImCVD70vtIoJWnq6nGn3,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,3jjujdWJ72nww5eGnfs2E7,207133,4
5DxXgozhkPLgrbKFY91w0c,77,True,Vete,Bad Bunny,4q3ewBCX7sLwd24euuV69X,0.886,0.672,1,-4.394,1,0.188,0.0363,8.78e-06,0.101,0.526,91.976,5DxXgozhkPLgrbKFY91w0c,192024,4
3yOlyBJuViE2YSGn3nVE1K,77,False,My Oh My (feat. DaBaby),"Camila Cabello, DaBaby","4nDoRrQiYLoBzwC5BhVJzF, 4r63FhuTkUYltbVAg5TQnk",0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,3yOlyBJuViE2YSGn3nVE1K,170746,4
0RiRZpuVRbi7oqRdSMwhQY,79,False,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee","246dkjvS1zLTtiykXe5h60, 1zNqQNIdeOUZHb8zbZRFMX",0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,0RiRZpuVRbi7oqRdSMwhQY,157560,4
7aiClxsDWFRQ0Kzk5KI5ku,80,True,hot girl bummer,blackbear,2cFrymmkijnjDg9SS92EPM,0.778,0.559,6,-7.109,0,0.0776,0.128,0,0.399,0.678,129.989,7aiClxsDWFRQ0Kzk5KI5ku,185093,1
2ksOAxtIxY8yElEWw8RhgK,76,False,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna","2R21vXR83lH98kGeO99Y66, 4VMYDCV2IEDYJArk749S6m, 790FomKkXshlbRYZFtlgla, 1vyhD5VmyZ7KMfW5gqLgo5, 1i8SpTcr7yvPOmcqrbnVXY",0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,2ksOAxtIxY8yElEWw8RhgK,301714,4
1HfMVBKM75vxSfsQ5VefZ5,81,False,Lose You To Love Me,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,0.505,0.34,4,-9.005,1,0.0438,0.576,0,0.21,0.0916,101.993,1HfMVBKM75vxSfsQ5VefZ5,206459,4
6Ozh9Ok6h4Oi1wUSLtBseN,79,True,BOP,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.769,0.787,11,-3.909,1,0.367,0.189,0,0.129,0.836,126.77,6Ozh9Ok6h4Oi1wUSLtBseN,159715,4
2tnVG71enUj33Ic2nFN6kZ,83,False,Ride It,Regard,4ofCBoyEiGSePFAG500xev,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,2tnVG71enUj33Ic2nFN6kZ,157606,4
6UelLqGlWMcVH1E5c4H7lY,88,False,Watermelon Sugar,Harry Styles,6KImCVD70vtIoJWnq6nGn3,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,6UelLqGlWMcVH1E5c4H7lY,174000,4
3eekarcy7kvN4yt5ZFzltW,83,True,HIGHEST IN THE ROOM,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,3eekarcy7kvN4yt5ZFzltW,175721,4
6Gg1gjgKi2AK4e0qzsR7sd,80,True,Bandit (with YoungBoy Never Broke Again),"Juice WRLD, YoungBoy Never Broke Again","4MCBfE4596Uoi2O4DtmEMz, 7wlFDEWiM5OoIAt8RSli8b",0.474,0.631,5,-5.884,0,0.343,0.0687,0,0.132,0.425,180.051,6Gg1gjgKi2AK4e0qzsR7sd,189323,4
0hVXuCcriWRGvwMV1r5Yn9,75,False,I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber","6eUKZXaKkcviH0Ku9w2n3V, 1uNFoZAHBGtllmzznpCI3s",0.798,0.676,6,-5.041,1,0.0442,0.0902,0,0.0894,0.843,101.956,0hVXuCcriWRGvwMV1r5Yn9,219947,4
6mAN61JH0dzyZpWslS11jy,75,False,Fantasias,"Rauw Alejandro, Farruko","1mcTU81TzQhprhouKaTkpq, 329e4yvIujISKGKz1BZZbO",0.879,0.703,1,-4.219,1,0.0701,0.143,0,0.0569,0.788,94.004,6mAN61JH0dzyZpWslS11jy,199711,4
70eFcWOvlMObDhURTqT4Fv,74,False,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid","6eUKZXaKkcviH0Ku9w2n3V, 6LuN9FCkKOj5PcnpouEgny",0.64,0.647,5,-8.114,0,0.186,0.124,0,0.0801,0.546,92.979,70eFcWOvlMObDhURTqT4Fv,197867,4
285pBltuF7vW8TeWk8hdRR,84,True,Lucid Dreams,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,285pBltuF7vW8TeWk8hdRR,239836,4
57vxBYXtHMk6H1aD29V7PU,76,True,Heartless,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0.531,0.75,10,-5.831,0,0.111,0.00632,7.6e-05,0.117,0.198,169.954,57vxBYXtHMk6H1aD29V7PU,200080,4
3VyjsVV24RmBIbWJAeUJNu,80,False,No Idea,Don Toliver,4Gso3d4CscCijv0lmajZWs,0.651,0.631,6,-5.717,0,0.0896,0.519,0.000579,0.165,0.35,127.994,3VyjsVV24RmBIbWJAeUJNu,154424,4
2YpeDb67231RjR0MgVLzsG,81,False,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus","7jVv8c5Fj3E9VhNjxT4snq, 60rpJ9SgigSd16DOAG7GSa",0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,2YpeDb67231RjR0MgVLzsG,157067,4
2Ec33AVlkTTq8BHFgBTdQs,66,True,Futsal Shuffle 2020,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,0.881,0.457,7,-8.191,0,0.156,0.0327,0,0.231,0.296,136.97,2Ec33AVlkTTq8BHFgBTdQs,198913,4
